129|01|28|2011|Parliament/State/Union Territory Legislatures|02||101||0||04|Government Chief Whip - Legislative Assembly|||2011-02-101-0-04|Government Chief Whip - Legislative Assembly||Header|Detailed-Head||||
129|01|28|2011|Parliament/State/Union Territory Legislatures|02||101||0||04|Government Chief Whip - Legislative Assembly|001|Consolidated Salaries|2011-02-101-0-04|Consolidated Salaries||Data|Object-Head|27.70|27.70|40.20|41.40
129|01|28|2011|Parliament/State/Union Territory Legislatures|02||101||0||04|Government Chief Whip - Legislative Assembly|021|Reimbursement of Medical Expenses|2011-02-101-0-04|Reimbursement of Medical Expenses||Data|Object-Head|8.16|6.00|6.00|6.00
129|01|28|2011|Parliament/State/Union Territory Legislatures|02||101||0||04|Government Chief Whip - Legislative Assembly|041|Travel Expenses|2011-02-101-0-04|Travel Expenses||Data|Object-Head|47.90|30.00|68.00|36.00
129|01|28|2011|Parliament/State/Union Territory Legislatures|02||101||0||04|Government Chief Whip - Legislative Assembly|050|Office Expenses|2011-02-101-0-04|Office Expenses||Data|Object-Head||1.00|1.00|1.00
129|01|28|2011|Parliament/State/Union Territory Legislatures|02||101||0||04|Government Chief Whip - Legislative Assembly|051|General Expenses|2011-02-101-0-04|General Expenses||Data|Object-Head|0.30|1.00|1.00|2.00
129|01|28|2011|Parliament/State/Union Territory Legislatures|02||101||0||04|Government Chief Whip - Legislative Assembly|052|Telephone Charges|2011-02-101-0-04|Telephone Charges||Data|Object-Head|0.74||||
129|01|28|2011|Parliament/State/Union Territory Legislatures|02||101||0||04|Government Chief Whip - Legislative Assembly|||2011-02-101-0-04|HOA Total :||Total|Detailed-Head|84.80|65.70|116.20|86.40
129|01|28|2011|Parliament/State/Union Territory Legislatures|02||101||0||05|Consolidated Salaries for MLAs|||2011-02-101-0-05|Consolidated Salaries for MLAs||Header|Detailed-Head||||
129|01|28|2011|Parliament/State/Union Territory Legislatures|02||101||0||05|Consolidated Salaries for MLAs|001|Consolidated Salaries|2011-02-101-0-05|Consolidated Salaries||Data|Object-Head|4428.00|4428.00|4428.00|5416.00
129|01|28|2011|Parliament/State/Union Territory Legislatures|02||101||0||05|Consolidated Salaries for MLAs|021|Reimbursement of Medical Expenses|2011-02-101-0-05|Reimbursement of Medical Expenses||Data|Object-Head|368.78|500.00|500.00|500.00
129|01|28|2011|Parliament/State/Union Territory Legislatures|02||101||0||05|Consolidated Salaries for MLAs|041|Travel Expenses|2011-02-101-0-05|Travel Expenses||Data|Object-Head|3095.11|4120.00|4120.00|4120.00
129|01|28|2011|Parliament/State/Union Territory Legislatures|02||101||0||05|Consolidated Salaries for MLAs|051|General Expenses|2011-02-101-0-05|General Expenses||Data|Object-Head|20.56|50.00|50.00|50.00
129|01|28|2011|Parliament/State/Union Territory Legislatures|02||101||0||05|Consolidated Salaries for MLAs|||2011-02-101-0-05|HOA Total :||Total|Detailed-Head|7912.45|9098.00|9098.00|10086.00
129|01|28|2011|Parliament/State/Union Territory Legislatures|02||101||0||08|Commonwealth Parliament Affiliation Fees|||2011-02-101-0-08|Commonwealth Parliament Affiliation Fees||Header|Detailed-Head||||
129|01|28|2011|Parliament/State/Union Territory Legislatures|02||101||0||08|Commonwealth Parliament Affiliation Fees|051|General Expenses|2011-02-101-0-08|General Expenses||Data|Object-Head|16.37|16.00|16.00|20.00
129|01|28|2011|Parliament/State/Union Territory Legislatures|02||101||0||08|Commonwealth Parliament Affiliation Fees|||2011-02-101-0-08|HOA Total :||Total|Detailed-Head|16.37|16.00|16.00|20.00
129|01|28|2011|Parliament/State/Union Territory Legislatures|02||101||0||09|PAs to MLAs|||2011-02-101-0-09|PAs to MLAs||Header|Detailed-Head||||
129|01|28|2011|Parliament/State/Union Territory Legislatures|02||101||0||09|PAs to MLAs|002|Basic Pay|2011-02-101-0-09|Basic Pay||Data|Object-Head||869.00|869.00|1006.00
129|01|28|2011|Parliament/State/Union Territory Legislatures|02||101||0||09|PAs to MLAs|003|Basic Pay-Staff|2011-02-101-0-09|Basic Pay-Staff||Data|Object-Head|640.89||||
129|01|28|2011|Parliament/State/Union Territory Legislatures|02||101||0||09|PAs to MLAs|004|Interim Relief|2011-02-101-0-09|Interim Relief||Data|Object-Head|51.83||||
129|01|28|2011|Parliament/State/Union Territory Legislatures|02||101||0||09|PAs to MLAs|011|Dearness Allowance|2011-02-101-0-09|Dearness Allowance||Data|Object-Head|162.68|192.00|192.00|252.00
129|01|28|2011|Parliament/State/Union Territory Legislatures|02||101||0||09|PAs to MLAs|014|Other Allowance|2011-02-101-0-09|Other Allowance||Data|Object-Head|129.48|219.00|219.00|244.00
129|01|28|2011|Parliament/State/Union Territory Legislatures|02||101||0||09|PAs to MLAs|020|Medical Allowance|2011-02-101-0-09|Medical Allowance||Data|Object-Head|4.53||||
