34|01|03|7610|Loans to Government Servants, etc.,|00||204||||||||7610-00-204-0-01|Advances for Purchase of Computers|V|Header|Minor-Head||||
34|01|03|7610|Loans to Government Servants, etc.,|00||204||0||||||7610-00-204-0-01||V|Header|Sub-Head||||
34|01|03|7610|Loans to Government Servants, etc.,|00||204||0||01|Advances for Purchase of Computers|||7610-00-204-0-01||V|Header|Detailed-Head||||
34|01|03|7610|Loans to Government Servants, etc.,|00||204||0||01|Advances for Purchase of Computers|393|Advances|7610-00-204-0-01|Advances|V|Data|Object-Head||15.00|15.00|15.00
34|01|03|7610|Loans to Government Servants, etc.,|00||204||0||01|Advances for Purchase of Computers|||||HOA Total :|V|Total|Detailed-Head|0.00|15.00|15.00|15.00
34|01|03|7610|Loans to Government Servants, etc.,|00||800||||||||7610-00-800-0-05|Advance for Purchase of Solar Appliances|V|Header|Minor-Head||||
34|01|03|7610|Loans to Government Servants, etc.,|00||800||0||||||7610-00-800-0-05||V|Header|Sub-Head||||
34|01|03|7610|Loans to Government Servants, etc.,|00||800||0||05|Advance for Purchase of Solar Appliances|||7610-00-800-0-05||V|Header|Detailed-Head||||
34|01|03|7610|Loans to Government Servants, etc.,|00||800||0||05|Advance for Purchase of Solar Appliances|393|Advances|7610-00-800-0-05|Advances|V|Data|Object-Head||2.00|2.00|1.00
34|01|03|7610|Loans to Government Servants, etc.,|00||800||0||05|Advance for Purchase of Solar Appliances|||||HOA Total :|V|Total|Detailed-Head|0.00|2.00|2.00|1.00
34|01|03|7610|Loans to Government Servants, etc.,|00|||||||||||7610 - Total :|V|Total|Major-Head|1869.15|1138.00|1458.00|1316.00
