31|01|03|5054|Capital Outlay on Roads & Bridges|04||||||||||5054|Capital Outlay on Roads & Bridges|V|Header|Major-Head||||
31|01|03|5054|Capital Outlay on Roads & Bridges|04||337|Rural Road Projects|||||||5054-04-337-0-10|Rural Road Projects|V|Header|Minor-Head||||
31|01|03|5054|Capital Outlay on Roads & Bridges|04||337|Rural Road Projects|0||||||5054-04-337-0-10||V|Header|Sub-Head||||
31|01|03|5054|Capital Outlay on Roads & Bridges|04||337|Rural Road Projects|0||10||||5054-04-337-0-10||V|Header|Detailed-Head||||
31|01|03|5054|Capital Outlay on Roads & Bridges|04||337|Rural Road Projects|0||10||172|Roads|5054-04-337-0-10|Roads|V|Data|Object-Head||200000.00|200000.00|
31|01|03|5054|Capital Outlay on Roads & Bridges|04||337|Rural Road Projects|0||10|||||HOA Total :|V|Total|Detailed-Head|0.00|200000.00|200000.00|0.00
31|01|03|5054|Capital Outlay on Roads & Bridges|04||902|Deduct-Amount met from CMRRF|||||||5054-04-902-0-04|Deduct-Amount met from CMRRF|V|Header|Minor-Head||||
31|01|03|5054|Capital Outlay on Roads & Bridges|04||902|Deduct-Amount met from CMRRF|0||||||5054-04-902-0-04||V|Header|Sub-Head||||
31|01|03|5054|Capital Outlay on Roads & Bridges|04||902|Deduct-Amount met from CMRRF|0||04||||5054-04-902-0-04||V|Header|Detailed-Head||||
31|01|03|5054|Capital Outlay on Roads & Bridges|04||902|Deduct-Amount met from CMRRF|0||04||261|Inter Account Transfers|5054-04-902-0-04|Inter Account Transfers|V|Data|Object-Head||-200000.00|-200000.00|
31|01|03|5054|Capital Outlay on Roads & Bridges|04||902|Deduct-Amount met from CMRRF|0||04|||||HOA Total :|V|Total|Detailed-Head|0.00|-200000.00|-200000.00|0.00
31|01|03|5054|Capital Outlay on Roads & Bridges|04||||||||||5054 - Total :|V|Total|Major-Head|0.00|0.00|0.00|0.00
