Source_Page_Number|Volume_Number|Demand_Number|Major_Head_Code|Major_Head_Name|Sub_Major_Head_Code|Sub_Major_Head_Name|Minor_Head_Code|Minor_Head_Name|Sub_Head_Code|Sub_Head_Name|Detailed_Head_Code|Detailed_Head_Name|Object_Head_Code|Object_Head_Description|Full_Account_Code|Description|Vote_Charge_Marker|Row_Type|Row_Level|Financial_Col_1|Financial_Col_2|Financial_Col_3|Financial_Col_4
164|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|4|Interest on Market Loans|31|2020-21 - 6.65% KSDL 2030 (DOM : 16-09-2030)|241|Interest Payments|2049-01-101-4-31|Interest Payments|C|Data|Object-Head||6650.00|6650.00|6650.00
164|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|4|Interest on Market Loans|31|2020-21 - 6.65% KSDL 2030 (DOM : 16-09-2030)|||2049-01-101-4-31|HOA Total :|C|Total|Detailed-Head|6650.00|6650.00|6650.00|6650.00
164|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|4|Interest on Market Loans|32|2020-21 - 6.75% KSDL 2033 (DOM : 16-09-2033)|||2049-01-101-4-32|2020-21 - 6.75% KSDL 2033 (DOM : 16-09-2033)|C|Header|Detailed-Head||||
164|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|4|Interest on Market Loans|32|2020-21 - 6.75% KSDL 2033 (DOM : 16-09-2033)|240|Repayment of Borrowings|2049-01-101-4-32|Repayment of Borrowings|C|Data|Object-Head|6750.00|||
164|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|4|Interest on Market Loans|32|2020-21 - 6.75% KSDL 2033 (DOM : 16-09-2033)|241|Interest Payments|2049-01-101-4-32|Interest Payments|C|Data|Object-Head||6750.00|6750.00|6750.00
164|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|4|Interest on Market Loans|32|2020-21 - 6.75% KSDL 2033 (DOM : 16-09-2033)|||2049-01-101-4-32|HOA Total :|C|Total|Detailed-Head|6750.00|6750.00|6750.00|6750.00
164|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|4|Interest on Market Loans|33|2020-21 - 6.70% KSDL 2030 (DOM : 23-09-2030)|||2049-01-101-4-33|2020-21 - 6.70% KSDL 2030 (DOM : 23-09-2030)|C|Header|Detailed-Head||||
164|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|4|Interest on Market Loans|33|2020-21 - 6.70% KSDL 2030 (DOM : 23-09-2030)|240|Repayment of Borrowings|2049-01-101-4-33|Repayment of Borrowings|C|Data|Object-Head|6700.00|||
164|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|4|Interest on Market Loans|33|2020-21 - 6.70% KSDL 2030 (DOM : 23-09-2030)|241|Interest Payments|2049-01-101-4-33|Interest Payments|C|Data|Object-Head||6700.00|6700.00|6700.00
164|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|4|Interest on Market Loans|33|2020-21 - 6.70% KSDL 2030 (DOM : 23-09-2030)|||2049-01-101-4-33|HOA Total :|C|Total|Detailed-Head|6700.00|6700.00|6700.00|6700.00
164|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|4|Interest on Market Loans|34|2020-21 - 6.78% KSDL 2032 (DOM : 23-09-2032)|||2049-01-101-4-34|2020-21 - 6.78% KSDL 2032 (DOM : 23-09-2032)|C|Header|Detailed-Head||||
164|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|4|Interest on Market Loans|34|2020-21 - 6.78% KSDL 2032 (DOM : 23-09-2032)|240|Repayment of Borrowings|2049-01-101-4-34|Repayment of Borrowings|C|Data|Object-Head|6780.00|||
164|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|4|Interest on Market Loans|34|2020-21 - 6.78% KSDL 2032 (DOM : 23-09-2032)|241|Interest Payments|2049-01-101-4-34|Interest Payments|C|Data|Object-Head||6780.00|6780.00|6780.00
164|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|4|Interest on Market Loans|34|2020-21 - 6.78% KSDL 2032 (DOM : 23-09-2032)|||2049-01-101-4-34|HOA Total :|C|Total|Detailed-Head|6780.00|6780.00|6780.00|6780.00
164|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|4|Interest on Market Loans|35|2020-21 - 6.85% KSDL 2030 (DOM : 30-09-2030)|||2049-01-101-4-35|2020-21 - 6.85% KSDL 2030 (DOM : 30-09-2030)|C|Header|Detailed-Head||||
164|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|4|Interest on Market Loans|35|2020-21 - 6.85% KSDL 2030 (DOM : 30-09-2030)|240|Repayment of Borrowings|2049-01-101-4-35|Repayment of Borrowings|C|Data|Object-Head|3425.00|||
164|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|4|Interest on Market Loans|35|2020-21 - 6.85% KSDL 2030 (DOM : 30-09-2030)|241|Interest Payments|2049-01-101-4-35|Interest Payments|C|Data|Object-Head||6850.00|10275.00|6850.00
164|01|29|2049|Interest Payments|01|Interest on Internal Debt|101|Interest on Market Loans|4|Interest on Market Loans|35|2020-21 - 6.85% KSDL 2030 (DOM : 30-09-2030)|||2049-01-101-4-35|HOA Total :|C|Total|Detailed-Head|3425.00|6850.00|10275.00|6850.00
