Source_Page_Number|Volume_Number|Demand_Number|Major_Head_Code|Major_Head_Name|Sub_Major_Head_Code|Sub_Major_Head_Name|Minor_Head_Code|Minor_Head_Name|Sub_Head_Code|Sub_Head_Name|Detailed_Head_Code|Detailed_Head_Name|Object_Head_Code|Object_Head_Description|Full_Account_Code|Description|Vote_Charge_Marker|Row_Type|Row_Level|Financial_Col_1|Financial_Col_2|Financial_Col_3|Financial_Col_4|Avg_Accuracy_%
1|02|12|2220|Information and Publicity|||||||||||2220|Information and Publicity|V|Header|Major-Head|||||
1|02|12|2220|Information and Publicity|01||105||0||02|Kannada Film Academy|||2220-01-105-0-02|Kannada Film Academy|V|Header|Detailed-Head|||||100.0
1|02|12|2220|Information and Publicity|01||105||0||02|Kannada Film Academy|101|Grants-in-Aid-Salaries|2220-01-105-0-02|Grants-in-Aid-Salaries|V|Data|Object-Head|15.60|17.12|17.12|17.73|100.0
1|02|12|2220|Information and Publicity|01||105||0||02|Kannada Film Academy|103|Grants-in-Aid -General|2220-01-105-0-02|Grants-in-Aid -General|V|Data|Object-Head|35.00|200.00|200.00|200.00|100.0
1|02|12|2220|Information and Publicity|01||105||0||02|Kannada Film Academy|115|GIA Contract /Outsource|2220-01-105-0-02|GIA Contract /Outsource|V|Data|Object-Head|16.39|21.96|21.96|17.89|100.0
1|02|12|2220|Information and Publicity|01||105||0||02|Kannada Film Academy|||2220-01-105-0-02|HOA Total:|V|Total|Detailed-Head|66.99|239.08|239.08|235.62|100.0
1|02|12|2220|Information and Publicity|01||105||0||03|International Film Festival|||2220-01-105-0-03|International Film Festival|V|Header|Detailed-Head|||||100.0
1|02|12|2220|Information and Publicity|01||105||0||03|International Film Festival|059|Other Expenses|2220-01-105-0-03|Other Expenses|V|Data|Object-Head|700.00|200.00|700.00|200.00|100.0
1|02|12|2220|Information and Publicity|01||105||0||03|International Film Festival|||2220-01-105-0-03|HOA Total:|V|Total|Detailed-Head|700.00|200.00|700.00|200.00|100.0
1|02|12|2220|Information and Publicity|01||800||0||14|Establishment of Memorials|||2220-01-800-0-14|Establishment of Memorials|V|Header|Detailed-Head|||||100.0
