79|3|02|4405|Capital Outlay on Fisheries|00||103|Marine Fisheries|6||04|CSS-State Share-Non beneficiary Infrastructure Related Works(PMMSY)|||4405-00-103-6-04|CSS-State Share-Non beneficiary Infrastructure Related Works(PMMSY)|V|Header|Detailed-Head||||
79|3|02|4405|Capital Outlay on Fisheries|00||103|Marine Fisheries|6||04|CSS-State Share-Non beneficiary Infrastructure Related Works(PMMSY)|132|Other Capital Expenses|4405-00-103-6-04|Other Capital Expenses|V|Data|Object-Head||||1333.00
79|3|02|4405|Capital Outlay on Fisheries|00||103|Marine Fisheries|6||04|CSS-State Share-Non beneficiary Infrastructure Related Works(PMMSY)|139|Major Works|4405-00-103-6-04|Major Works|V|Data|Object-Head||1333.00|1333.00|
79|3|02|4405|Capital Outlay on Fisheries|00||103|Marine Fisheries|6||04|CSS-State Share-Non beneficiary Infrastructure Related Works(PMMSY)|||4405-00-103-6-04|ಜುಮ್ಲಾ HOA Total :|V|Total|Detailed-Head|0.00|1333.00|1333.00|1333.00
79|3|02|4405|Capital Outlay on Fisheries|00||104||0||02|Renovation of Fishing Harbours and Landing Centres,Dredging works and Link Roads|||4405-00-104-0-02|Renovation of Fishing Harbours and Landing Centres,Dredging works and Link Roads|V|Header|Detailed-Head||||
79|3|02|4405|Capital Outlay on Fisheries|00||104||0||02|Renovation of Fishing Harbours and Landing Centres,Dredging works and Link Roads|132|Other Capital Expenses|4405-00-104-0-02|Other Capital Expenses|V|Data|Object-Head||||2000.00
79|3|02|4405|Capital Outlay on Fisheries|00||104||0||02|Renovation of Fishing Harbours and Landing Centres,Dredging works and Link Roads|386|Purchase/Construction of Buildings|4405-00-104-0-02|Purchase/Construction of Buildings|V|Data|Object-Head|3837.49|1500.00|4302.00|1500.00
79|3|02|4405|Capital Outlay on Fisheries|00||104||0||02|Renovation of Fishing Harbours and Landing Centres,Dredging works and Link Roads|||4405-00-104-0-02|ಜುಮ್ಲಾ HOA Total :|V|Total|Detailed-Head|3837.49|1500.00|4302.00|3500.00
79|3|02|4405|Capital Outlay on Fisheries|00||105||0||01|Construction Works- Fisheries Department|||4405-00-105-0-01|Construction Works- Fisheries Department|V|Header|Detailed-Head||||
79|3|02|4405|Capital Outlay on Fisheries|00||105||0||01|Construction Works- Fisheries Department|132|Other Capital Expenses|4405-00-105-0-01|Other Capital Expenses|V|Data|Object-Head||||400.00
79|3|02|4405|Capital Outlay on Fisheries|00||105||0||01|Construction Works- Fisheries Department|139|Major Works|4405-00-105-0-01|Major Works|V|Data|Object-Head||550.00|550.00|
79|3|02|4405|Capital Outlay on Fisheries|00||105||0||01|Construction Works- Fisheries Department|180|Machinery and Equipments|4405-00-105-0-01|Machinery and Equipments|V|Data|Object-Head||||50.00
79|3|02|4405|Capital Outlay on Fisheries|00||105||0||01|Construction Works- Fisheries Department|||4405-00-105-0-01|ಜುಮ್ಲಾ HOA Total :|V|Total|Detailed-Head|0.00|550.00|550.00|450.00
79|3|02|4405|Capital Outlay on Fisheries|00||800||2||03|Link Roads, Bridges and Jetties - with NABARD Assistance (RIDF)|||4405-00-800-2-03|Link Roads, Bridges and Jetties - with NABARD Assistance (RIDF)|V|Header|Detailed-Head||||
79|3|02|4405|Capital Outlay on Fisheries|00||800||2||03|Link Roads, Bridges and Jetties - with NABARD Assistance (RIDF)|436|NABARD Works|4405-00-800-2-03|NABARD Works|V|Data|Object-Head|1636.00|4200.00|4200.00|900.00
79|3|02|4405|Capital Outlay on Fisheries|00||800||2||03|Link Roads, Bridges and Jetties - with NABARD Assistance (RIDF)|||4405-00-800-2-03|ಜುಮ್ಲಾ HOA Total :|V|Total|Detailed-Head|1636.00|4200.00|4200.00|900.00
79|3|02|4405|Capital Outlay on Fisheries|00||||||||||4405|4405 - ಜುಮ್ಲಾ Total :|V|Total|Major-Head|5473.49|12583.00|14120.58|11885.00
