21|03|01|2402|Soil & Water Conservation|00||196||2||01|Grants to Watershed Development Establishments|457|Udupi|2402-00-196-2-01|Udupi|V|Data|Object-Head|105.05|124.95|125.50|122.14
21|03|01|2402|Soil & Water Conservation|00||196||2||01|Grants to Watershed Development Establishments|461|Bagalkot|2402-00-196-2-01|Bagalkot|V|Data|Object-Head|219.77|233.01|233.31|207.44
21|03|01|2402|Soil & Water Conservation|00||196||2||01|Grants to Watershed Development Establishments|462|Gadag|2402-00-196-2-01|Gadag|V|Data|Object-Head|118.29|131.78|133.45|122.14
21|03|01|2402|Soil & Water Conservation|00||196||2||01|Grants to Watershed Development Establishments|463|Haveri|2402-00-196-2-01|Haveri|V|Data|Object-Head|191.31|237.68|238.12|234.36
21|03|01|2402|Soil & Water Conservation|00||196||2||01|Grants to Watershed Development Establishments|466|Koppal|2402-00-196-2-01|Koppal|V|Data|Object-Head|141.88|134.32|134.32|192.20
21|03|01|2402|Soil & Water Conservation|00||196||2||01|Grants to Watershed Development Establishments|467|Vijayanagara|2402-00-196-2-01|Vijayanagara|V|Data|Object-Head|53.60|74.89|74.89|50.39
21|03|01|2402|Soil & Water Conservation|00||196||2||01|Grants to Watershed Development Establishments|||||HOA Total :|V|Total|Detailed-Head|4891.12|5415.99|5501.93|5762.91
21|03|01|2402|Soil & Water Conservation|00||197||1|Grants to TPs-Watershed Development|01|Grants to TPs-Watershed Development||||2402-00-197-1-01|Grants to TPs-Watershed Development|V|Header|Detailed-Head||||
21|03|01|2402|Soil & Water Conservation|00||197||1|Grants to TPs-Watershed Development|01|Grants to TPs-Watershed Development|401|Bengaluru (Urban)|2402-00-197-1-01|Bengaluru (Urban)|V|Data|Object-Head|3.12|3.12|3.12|3.12
21|03|01|2402|Soil & Water Conservation|00||197||1|Grants to TPs-Watershed Development|01|Grants to TPs-Watershed Development|402|Bengaluru (Rural)|2402-00-197-1-01|Bengaluru (Rural)|V|Data|Object-Head|1.27|1.27|1.27|2.00
21|03|01|2402|Soil & Water Conservation|00||197||1|Grants to TPs-Watershed Development|01|Grants to TPs-Watershed Development|403|Chitradurga|2402-00-197-1-01|Chitradurga|V|Data|Object-Head|8.32|8.32|8.32|8.32
21|03|01|2402|Soil & Water Conservation|00||197||1|Grants to TPs-Watershed Development|01|Grants to TPs-Watershed Development|404|Kolar|2402-00-197-1-01|Kolar|V|Data|Object-Head|3.12|3.12|3.12|3.12
21|03|01|2402|Soil & Water Conservation|00||197||1|Grants to TPs-Watershed Development|01|Grants to TPs-Watershed Development|405|Shivamogga|2402-00-197-1-01|Shivamogga|V|Data|Object-Head|3.12|3.12|3.12|3.50
21|03|01|2402|Soil & Water Conservation|00||197||1|Grants to TPs-Watershed Development|01|Grants to TPs-Watershed Development|406|Tumakuru|2402-00-197-1-01|Tumakuru|V|Data|Object-Head|5.20|5.20|5.20|5.20
21|03|01|2402|Soil & Water Conservation|00||197||1|Grants to TPs-Watershed Development|01|Grants to TPs-Watershed Development|408|Chikkamagaluru|2402-00-197-1-01|Chikkamagaluru|V|Data|Object-Head|2.08|2.08|2.08|2.08
21|03|01|2402|Soil & Water Conservation|00||197||1|Grants to TPs-Watershed Development|01|Grants to TPs-Watershed Development|410|Hassan|2402-00-197-1-01|Hassan|V|Data|Object-Head|2.08|2.50|2.50|5.00
21|03|01|2402|Soil & Water Conservation|00||197||1|Grants to TPs-Watershed Development|01|Grants to TPs-Watershed Development|412|Mandya|2402-00-197-1-01|Mandya|V|Data|Object-Head|1.27|1.27|1.27|6.00
