68|03|02|2404|Dairy Development|00||191||1||16|Animal Husbandry Programme for Women|||2404-00-191-1-16|Animal Husbandry Programme for Women||Header|Detailed-Head||||
68|03|02|2404|Dairy Development|00||191||1||16|Animal Husbandry Programme for Women|106|Subsidies|2404-00-191-1-16|Subsidies||Data|Object-Head||||1476.00
68|03|02|2404|Dairy Development|00||191||1||16|Animal Husbandry Programme for Women|422|Schedule Caste Sub Plan|2404-00-191-1-16|Schedule Caste Sub Plan||Data|Object-Head||||234.00
68|03|02|2404|Dairy Development|00||191||1||16|Animal Husbandry Programme for Women|423|Tribal Sub Plan|2404-00-191-1-16|Tribal Sub Plan||Data|Object-Head||||90.00
68|03|02|2404|Dairy Development|00||191||1||16|Animal Husbandry Programme for Women||||HOA Total :||Total|Detailed-Head|0.00|0.00|0.00|1800.00
68|03|02|2404|Dairy Development|00||191||1||17|Incentive to Milk Producers|||2404-00-191-1-17|Incentive to Milk Producers||Header|Detailed-Head||||
68|03|02|2404|Dairy Development|00||191||1||17|Incentive to Milk Producers|100|Financial Assistance/Relief|2404-00-191-1-17|Financial Assistance/Relief||Data|Object-Head|155488.73||||
68|03|02|2404|Dairy Development|00||191||1||17|Incentive to Milk Producers|106|Subsidies|2404-00-191-1-17|Subsidies||Data|Object-Head|11.33|155400.00|155400.00|154211.65
68|03|02|2404|Dairy Development|00||191||1||17|Incentive to Milk Producers|422|Schedule Caste Sub Plan|2404-00-191-1-17|Schedule Caste Sub Plan||Data|Object-Head|8104.59|8760.00|8760.00|8693.01
68|03|02|2404|Dairy Development|00||191||1||17|Incentive to Milk Producers|423|Tribal Sub Plan|2404-00-191-1-17|Tribal Sub Plan||Data|Object-Head|5641.32|5840.00|5840.00|5795.34
68|03|02|2404|Dairy Development|00||191||1||17|Incentive to Milk Producers||||HOA Total :||Total|Detailed-Head|169245.97|170000.00|170000.00|168700.00
68|03|02|2404|Dairy Development|00||||||||||2404|2404 - Total :||Total|Major-Head|169245.97|170000.00|170000.00|170500.00
