27|03|01|4401|Capital Outlay on Crop Husbandry|00||||||||||4401|Capital Outlay on Crop Husbandry||Header|Major-Head||||
27|03|01|4401|Capital Outlay on Crop Husbandry|00||001|Direction and Administration|1|Agricultural Infrastructure|01|Agricultural Infrastructure|||4401-00-001-1-01|Agricultural Infrastructure||Header|Detailed-Head||||
27|03|01|4401|Capital Outlay on Crop Husbandry|00||001|Direction and Administration|1|Agricultural Infrastructure|01|Agricultural Infrastructure|132|Other Capital Expenses|4401-00-001-1-01|Other Capital Expenses||Data|Object-Head||||200.00
27|03|01|4401|Capital Outlay on Crop Husbandry|00||001|Direction and Administration|1|Agricultural Infrastructure|01|Agricultural Infrastructure|139|Major Works|4401-00-001-1-01|Major Works||Data|Object-Head|1.00|1.00|1.00|
27|03|01|4401|Capital Outlay on Crop Husbandry|00||001|Direction and Administration|1|Agricultural Infrastructure|01|Agricultural Infrastructure|180|Machinery and Equipments|4401-00-001-1-01|Machinery and Equipments||Data|Object-Head||20.00|20.00|20.00
27|03|01|4401|Capital Outlay on Crop Husbandry|00||001|Direction and Administration|1|Agricultural Infrastructure|01|Agricultural Infrastructure|436|NABARD Works|4401-00-001-1-01|NABARD Works||Data|Object-Head|2483.00|5463.00|5463.00|
27|03|01|4401|Capital Outlay on Crop Husbandry|00||001|Direction and Administration|1|Agricultural Infrastructure|01|Agricultural Infrastructure||||4401-00-001-1-01|HOA Total :||Total|Detailed-Head|2484.00|5484.00|5484.00|220.00
27|03|01|4401|Capital Outlay on Crop Husbandry|00||001|Direction and Administration|1|Agricultural Infrastructure|02|Agriculture Quality Control-Capital Expenses|||4401-00-001-1-02|Agriculture Quality Control-Capital Expenses||Header|Detailed-Head||||
27|03|01|4401|Capital Outlay on Crop Husbandry|00||001|Direction and Administration|1|Agricultural Infrastructure|02|Agriculture Quality Control-Capital Expenses|180|Machinery and Equipments|4401-00-001-1-02|Machinery and Equipments||Data|Object-Head||770.00|770.00|300.00
27|03|01|4401|Capital Outlay on Crop Husbandry|00||001|Direction and Administration|1|Agricultural Infrastructure|02|Agriculture Quality Control-Capital Expenses||||4401-00-001-1-02|HOA Total :||Total|Detailed-Head|0.00|770.00|770.00|300.00
27|03|01|4401|Capital Outlay on Crop Husbandry|00||102|Food Grain Crops|1|Building Expenses of Agricultural Universities|01|Building Expenses of Agricultural Universities|||4401-00-102-1-01|Building Expenses of Agricultural Universities||Header|Detailed-Head||||
27|03|01|4401|Capital Outlay on Crop Husbandry|00||102|Food Grain Crops|1|Building Expenses of Agricultural Universities|01|Building Expenses of Agricultural Universities|132|Other Capital Expenses|4401-00-102-1-01|Other Capital Expenses||Data|Object-Head||1.00|1.00|
27|03|01|4401|Capital Outlay on Crop Husbandry|00||102|Food Grain Crops|1|Building Expenses of Agricultural Universities|01|Building Expenses of Agricultural Universities|386|Purchase/Construction of Buildings|4401-00-102-1-01|Purchase/Construction of Buildings||Data|Object-Head||2700.00|2700.00|2500.00
27|03|01|4401|Capital Outlay on Crop Husbandry|00||102|Food Grain Crops|1|Building Expenses of Agricultural Universities|01|Building Expenses of Agricultural Universities||||4401-00-102-1-01|HOA Total :||Total|Detailed-Head|0.00|2701.00|2701.00|2500.00
27|03|01|4401|Capital Outlay on Crop Husbandry|00||800|Other Expenditure|1|Agricultural University-RIDF|02|Shimoga Agricultural University-RIDF|||4401-00-800-1-02|Shimoga Agricultural University-RIDF||Header|Detailed-Head||||
27|03|01|4401|Capital Outlay on Crop Husbandry|00||800|Other Expenditure|1|Agricultural University-RIDF|02|Shimoga Agricultural University-RIDF|436|NABARD Works|4401-00-800-1-02|NABARD Works||Data|Object-Head|1555.21|811.00|811.00|
27|03|01|4401|Capital Outlay on Crop Husbandry|00||800|Other Expenditure|1|Agricultural University-RIDF|02|Shimoga Agricultural University-RIDF||||4401-00-800-1-02|HOA Total :||Total|Detailed-Head|1555.21|811.00|811.00|0.00
27|03|01|4401|Capital Outlay on Crop Husbandry|00||800|Other Expenditure|1|Agricultural University-RIDF|03|Raichur Agricultural University-RIDF|||4401-00-800-1-03|Raichur Agricultural University-RIDF||Header|Detailed-Head||||
27|03|01|4401|Capital Outlay on Crop Husbandry|00||800|Other Expenditure|1|Agricultural University-RIDF|03|Raichur Agricultural University-RIDF|436|NABARD Works|4401-00-800-1-03|NABARD Works||Data|Object-Head|1000.00|807.00|807.00|693.00
27|03|01|4401|Capital Outlay on Crop Husbandry|00||800|Other Expenditure|1|Agricultural University-RIDF|03|Raichur Agricultural University-RIDF||||4401-00-800-1-03|HOA Total :||Total|Detailed-Head|1000.00|807.00|807.00|693.00
