year,volume,snippet_pdf,extract_start_page,extract_end_page,source_page_start,source_page_end,page_count,baseline_hotspot
2018-19,expvol_1,DATA/All_States/KA_2018-19/2018-19_expvol_1.pdf,17,341,17,341,325,full
2018-19,expvol_2,DATA/All_States/KA_2018-19/2018-19_expvol_2.pdf,11,278,11,278,268,full
2018-19,expvol_3,DATA/All_States/KA_2018-19/2018-19_expvol_3.pdf,11,225,11,225,215,full
2018-19,expvol_4,DATA/All_States/KA_2018-19/2018-19_expvol_4.pdf,10,197,10,197,188,full
2018-19,expvol_5,DATA/All_States/KA_2018-19/2018-19_expvol_5.pdf,12,277,12,277,266,full
2018-19,expvol_6,DATA/All_States/KA_2018-19/2018-19_expvol_6.pdf,12,139,12,139,128,full
2018-19,expvol_7,DATA/All_States/KA_2018-19/2018-19_expvol_7.pdf,10,178,10,178,169,full
2019-20,expvol_1,DATA/All_States/KA_2019-20/2019-20_expvol_1.pdf,14,237,14,237,224,full
2019-20,expvol_2,DATA/All_States/KA_2019-20/2019-20_expvol_2.pdf,10,192,10,192,183,full
2019-20,expvol_3,DATA/All_States/KA_2019-20/2019-20_expvol_3.pdf,9,148,9,148,140,full
2019-20,expvol_4,DATA/All_States/KA_2019-20/2019-20_expvol_4.pdf,8,135,8,135,128,full
2019-20,expvol_5,DATA/All_States/KA_2019-20/2019-20_expvol_5.pdf,11,189,11,189,179,full
2019-20,expvol_6,DATA/All_States/KA_2019-20/2019-20_expvol_6.pdf,10,91,10,91,82,full
2019-20,expvol_7,DATA/All_States/KA_2019-20/2019-20_expvol_7.pdf,9,118,9,118,110,full
2020-21,expvol_1,DATA/All_States/KA_2020-21/2020-21_expvol_1.pdf,14,241,14,241,228,full
2020-21,expvol_2,DATA/All_States/KA_2020-21/2020-21_expvol_2.pdf,9,188,9,188,180,full
2020-21,expvol_3,DATA/All_States/KA_2020-21/2020-21_expvol_3.pdf,9,146,9,146,138,full
2020-21,expvol_4,DATA/All_States/KA_2020-21/2020-21_expvol_4.pdf,9,151,9,151,143,full
2020-21,expvol_5,DATA/All_States/KA_2020-21/2020-21_expvol_5.pdf,12,193,12,193,182,full
2020-21,expvol_6,DATA/All_States/KA_2020-21/2020-21_expvol_6.pdf,10,84,10,84,75,full
2020-21,expvol_7,DATA/All_States/KA_2020-21/2020-21_expvol_7.pdf,9,121,9,121,113,full
2021-22,expvol_1,DATA/All_States/KA_2021-22/2021-22_expvol_1.pdf,16,260,16,260,245,full
2021-22,expvol_2,DATA/All_States/KA_2021-22/2021-22_expvol_2.pdf,12,183,12,183,172,full
2021-22,expvol_3,DATA/All_States/KA_2021-22/2021-22_expvol_3.pdf,12,141,12,141,130,full
2021-22,expvol_4,DATA/All_States/KA_2021-22/2021-22_expvol_4.pdf,10,142,10,142,133,full
2021-22,expvol_5,DATA/All_States/KA_2021-22/2021-22_expvol_5.pdf,16,197,16,197,182,full
2021-22,expvol_6,DATA/All_States/KA_2021-22/2021-22_expvol_6.pdf,14,93,14,93,80,full
2021-22,expvol_7,DATA/All_States/KA_2021-22/2021-22_expvol_7.pdf,10,119,10,119,110,full
