Source_Page_Number|Volume_Number|Demand_Number|Major_Head_Code|Major_Head_Name|Sub_Major_Head_Code|Sub_Major_Head_Name|Minor_Head_Code|Minor_Head_Name|Sub_Head_Code|Sub_Head_Name|Detailed_Head_Code|Detailed_Head_Name|Object_Head_Code|Object_Head_Description|Full_Account_Code|Description|Vote_Charge_Marker|Row_Type|Row_Level|Financial_Col_1|Financial_Col_2|Financial_Col_3|Financial_Col_4
65|05|11|2235|Social Security and Welfare|02||001||0||01|Directorate of Women and Children Welfare|051|General Expenses|2235-02-001-0-01|General Expenses|V|Data|Object-Head|306.52|120.00|500.00|120.00
65|05|11|2235|Social Security and Welfare|02||001||0||01|Directorate of Women and Children Welfare|052|Telephone Charges|2235-02-001-0-01|Telephone Charges|V|Data|Object-Head|0.90|||
65|05|11|2235|Social Security and Welfare|02||001||0||01|Directorate of Women and Children Welfare|071|Building Expenses|2235-02-001-0-01|Building Expenses|V|Data|Object-Head|1.89|3.00|3.00|3.50
65|05|11|2235|Social Security and Welfare|02||001||0||01|Directorate of Women and Children Welfare|140|Minor Works|2235-02-001-0-01|Minor Works|V|Data|Object-Head||5.00|5.00|5.00
65|05|11|2235|Social Security and Welfare|02||001||0||01|Directorate of Women and Children Welfare|195|Transport Expenses|2235-02-001-0-01|Transport Expenses|V|Data|Object-Head|85.08|62.83|62.83|86.85
65|05|11|2235|Social Security and Welfare|02||001||0||01|Directorate of Women and Children Welfare|324|Honorarium|2235-02-001-0-01|Honorarium|V|Data|Object-Head|473.77|482.85|565.63|
65|05|11|2235|Social Security and Welfare|02||001||0||01|Directorate of Women and Children Welfare||||HOA Total :|V|Total|Detailed-Head|2295.53|2446.94|2909.72|2645.94
65|05|11|2235|Social Security and Welfare|02||001||0||03|Social Service Complex-Anupalana Gruha-Manasa Kendra|||2235-02-001-0-03|Social Service Complex-Anupalana Gruha-Manasa Kendra|V|Header|Detailed-Head||||
65|05|11|2235|Social Security and Welfare|02||001||0||03|Social Service Complex-Anupalana Gruha-Manasa Kendra|002|Basic Pay|2235-02-001-0-03|Basic Pay|V|Data|Object-Head||37.00|37.00|31.00
65|05|11|2235|Social Security and Welfare|02||001||0||03|Social Service Complex-Anupalana Gruha-Manasa Kendra|003|Basic Pay-Staff|2235-02-001-0-03|Basic Pay-Staff|V|Data|Object-Head|32.48|||
65|05|11|2235|Social Security and Welfare|02||001||0||03|Social Service Complex-Anupalana Gruha-Manasa Kendra|004|Interim Relief|2235-02-001-0-03|Interim Relief|V|Data|Object-Head|1.67|||
65|05|11|2235|Social Security and Welfare|02||001||0||03|Social Service Complex-Anupalana Gruha-Manasa Kendra|011|Dearness Allowance|2235-02-001-0-03|Dearness Allowance|V|Data|Object-Head|6.73|9.00|9.00|8.00
65|05|11|2235|Social Security and Welfare|02||001||0||03|Social Service Complex-Anupalana Gruha-Manasa Kendra|014|Other Allowance|2235-02-001-0-03|Other Allowance|V|Data|Object-Head|8.14|9.00|9.00|7.00
65|05|11|2235|Social Security and Welfare|02||001||0||03|Social Service Complex-Anupalana Gruha-Manasa Kendra|020|Medical Allowance|2235-02-001-0-03|Medical Allowance|V|Data|Object-Head|0.23|||
65|05|11|2235|Social Security and Welfare|02||001||0||03|Social Service Complex-Anupalana Gruha-Manasa Kendra|021|Reimbursement of Medical Expenses|2235-02-001-0-03|Reimbursement of Medical Expenses|V|Data|Object-Head|0.05|3.00|3.00|3.00
65|05|11|2235|Social Security and Welfare|02||001||0||03|Social Service Complex-Anupalana Gruha-Manasa Kendra|034|Contract/Outsource|2235-02-001-0-03|Contract/Outsource|V|Data|Object-Head|158.54|168.09|168.09|284.54
65|05|11|2235|Social Security and Welfare|02||001||0||03|Social Service Complex-Anupalana Gruha-Manasa Kendra|041|Travel Expenses|2235-02-001-0-03|Travel Expenses|V|Data|Object-Head|0.17|1.00|1.00|1.00
65|05|11|2235|Social Security and Welfare|02||001||0||03|Social Service Complex-Anupalana Gruha-Manasa Kendra|050|Office Expenses|2235-02-001-0-03|Office Expenses|V|Data|Object-Head|8.40|17.00|17.00|17.00
65|05|11|2235|Social Security and Welfare|02||001||0||03|Social Service Complex-Anupalana Gruha-Manasa Kendra|051|General Expenses|2235-02-001-0-03|General Expenses|V|Data|Object-Head|12.78|1.00|1.00|10.00
65|05|11|2235|Social Security and Welfare|02||001||0||03|Social Service Complex-Anupalana Gruha-Manasa Kendra|052|Telephone Charges|2235-02-001-0-03|Telephone Charges|V|Data|Object-Head|0.50|||
65|05|11|2235|Social Security and Welfare|02||001||0||03|Social Service Complex-Anupalana Gruha-Manasa Kendra|071|Building Expenses|2235-02-001-0-03|Building Expenses|V|Data|Object-Head|10.72|17.00|17.00|18.00
65|05|11|2235|Social Security and Welfare|02||001||0||03|Social Service Complex-Anupalana Gruha-Manasa Kendra|103|Grants-in-Aid -General|2235-02-001-0-03|Grants-in-Aid -General|V|Data|Object-Head|37.88|101.00|101.00|60.60
65|05|11|2235|Social Security and Welfare|02||001||0||03|Social Service Complex-Anupalana Gruha-Manasa Kendra|221|Materials and Supplies|2235-02-001-0-03|Materials and Supplies|V|Data|Object-Head|1.09|6.00|6.00|84.00
65|05|11|2235|Social Security and Welfare|02||001||0||03|Social Service Complex-Anupalana Gruha-Manasa Kendra|234|Diet Expenses|2235-02-001-0-03|Diet Expenses|V|Data|Object-Head|102.96|75.00|75.00|80.00
