Source_Page_Number|Volume_Number|Demand_Number|Major_Head_Code|Major_Head_Name|Sub_Major_Head_Code|Sub_Major_Head_Name|Minor_Head_Code|Minor_Head_Name|Sub_Head_Code|Sub_Head_Name|Detailed_Head_Code|Detailed_Head_Name|Object_Head_Code|Object_Head_Description|Full_Account_Code|Description|Vote_Charge_Marker|Row_Type|Row_Level|Financial_Col_1|Financial_Col_2|Financial_Col_3|Financial_Col_4
59|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|04|Welfare of Minorities|277||0||05|Vidyasiri Scheme for Minority Students|||2225-04-277-0-05|Vidyasiri Scheme for Minority Students|V|Header|Detailed-Head||||
59|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|04|Welfare of Minorities|277||0||05|Vidyasiri Scheme for Minority Students|059|Other Expenses|2225-04-277-0-05|Other Expenses|V|Data|Object-Head|1083.60|5000.00|1200.00|4975.00
59|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|04|Welfare of Minorities|277||0||05|Vidyasiri Scheme for Minority Students||||HOA Total :|V|Total|Detailed-Head|1083.60|5000.00|1200.00|4975.00
59|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|04|Welfare of Minorities|277||0||06|Training for Competitive Exams for Minorities|||2225-04-277-0-06|Training for Competitive Exams for Minorities|V|Header|Detailed-Head||||
59|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|04|Welfare of Minorities|277||0||06|Training for Competitive Exams for Minorities|059|Other Expenses|2225-04-277-0-06|Other Expenses|V|Data|Object-Head|1711.23|2000.00|2000.00|2000.00
59|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|04|Welfare of Minorities|277||0||06|Training for Competitive Exams for Minorities||||HOA Total :|V|Total|Detailed-Head|1711.23|2000.00|2000.00|2000.00
59|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|04|Welfare of Minorities|277||0||07|Providing Quality Education in Madrasas|||2225-04-277-0-07|Providing Quality Education in Madrasas|V|Header|Detailed-Head||||
59|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|04|Welfare of Minorities|277||0||07|Providing Quality Education in Madrasas|103|Grants-in-Aid -General|2225-04-277-0-07|Grants-in-Aid -General|V|Data|Object-Head|500.00|3500.00|3500.00|8500.00
59|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|04|Welfare of Minorities|277||0||07|Providing Quality Education in Madrasas||||HOA Total :|V|Total|Detailed-Head|500.00|3500.00|3500.00|8500.00
59|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|04|Welfare of Minorities|277||0||08|Karnataka Urdu Academy|||2225-04-277-0-08|Karnataka Urdu Academy|V|Header|Detailed-Head||||
