Source_Page_Number|Volume_Number|Demand_Number|Major_Head_Code|Major_Head_Name|Sub_Major_Head_Code|Sub_Major_Head_Name|Minor_Head_Code|Minor_Head_Name|Sub_Head_Code|Sub_Head_Name|Detailed_Head_Code|Detailed_Head_Name|Object_Head_Code|Object_Head_Description|Full_Account_Code|Description|Vote_Charge_Marker|Row_Type|Row_Level|Financial_Col_1|Financial_Col_2|Financial_Col_3|Financial_Col_4
122|05|14|2053|District Administration|00||093||1|Deputy Commissioners - Establishment|07|Special Court under Karnataka Land Grabbing Prohibition Act 2011|||2053-00-093-1-07|Special Court under Karnataka Land Grabbing Prohibition Act 2011|V|Header|Detailed-Head||||
122|05|14|2053|District Administration|00||093||1|Deputy Commissioners - Establishment|07|Special Court under Karnataka Land Grabbing Prohibition Act 2011|001|Consolidated Salaries|2053-00-093-1-07|Consolidated Salaries|V|Data|Object-Head|97.46|98.00|132.86|98.00
122|05|14|2053|District Administration|00||093||1|Deputy Commissioners - Establishment|07|Special Court under Karnataka Land Grabbing Prohibition Act 2011|002|Basic Pay|2053-00-093-1-07|Basic Pay|V|Data|Object-Head|47.94|69.00|69.00|73.00
122|05|14|2053|District Administration|00||093||1|Deputy Commissioners - Establishment|07|Special Court under Karnataka Land Grabbing Prohibition Act 2011|004|Interim Relief|2053-00-093-1-07|Interim Relief|V|Data|Object-Head|2.31|||
122|05|14|2053|District Administration|00||093||1|Deputy Commissioners - Establishment|07|Special Court under Karnataka Land Grabbing Prohibition Act 2011|011|Dearness Allowance|2053-00-093-1-07|Dearness Allowance|V|Data|Object-Head|18.06|24.00|24.00|28.00
122|05|14|2053|District Administration|00||093||1|Deputy Commissioners - Establishment|07|Special Court under Karnataka Land Grabbing Prohibition Act 2011|014|Other Allowance|2053-00-093-1-07|Other Allowance|V|Data|Object-Head|16.95|16.00|16.00|16.00
122|05|14|2053|District Administration|00||093||1|Deputy Commissioners - Establishment|07|Special Court under Karnataka Land Grabbing Prohibition Act 2011|020|Medical Allowance|2053-00-093-1-07|Medical Allowance|V|Data|Object-Head|2.32|||
122|05|14|2053|District Administration|00||093||1|Deputy Commissioners - Establishment|07|Special Court under Karnataka Land Grabbing Prohibition Act 2011|021|Reimbursement of Medical Expenses|2053-00-093-1-07|Reimbursement of Medical Expenses|V|Data|Object-Head|4.28|3.00|3.00|3.00
122|05|14|2053|District Administration|00||093||1|Deputy Commissioners - Establishment|07|Special Court under Karnataka Land Grabbing Prohibition Act 2011|034|Contract/Outsource|2053-00-093-1-07|Contract/Outsource|V|Data|Object-Head|126.19|139.63|139.63|128.52
122|05|14|2053|District Administration|00||093||1|Deputy Commissioners - Establishment|07|Special Court under Karnataka Land Grabbing Prohibition Act 2011|041|Travel Expenses|2053-00-093-1-07|Travel Expenses|V|Data|Object-Head|6.83|2.00|2.00|2.00
122|05|14|2053|District Administration|00||093||1|Deputy Commissioners - Establishment|07|Special Court under Karnataka Land Grabbing Prohibition Act 2011|050|Office Expenses|2053-00-093-1-07|Office Expenses|V|Data|Object-Head|5.00|8.00|8.00|5.00
122|05|14|2053|District Administration|00||093||1|Deputy Commissioners - Establishment|07|Special Court under Karnataka Land Grabbing Prohibition Act 2011|051|General Expenses|2053-00-093-1-07|General Expenses|V|Data|Object-Head|38.98|20.00|20.00|20.00
122|05|14|2053|District Administration|00||093||1|Deputy Commissioners - Establishment|07|Special Court under Karnataka Land Grabbing Prohibition Act 2011|052|Telephone Charges|2053-00-093-1-07|Telephone Charges|V|Data|Object-Head|2.01|||
122|05|14|2053|District Administration|00||093||1|Deputy Commissioners - Establishment|07|Special Court under Karnataka Land Grabbing Prohibition Act 2011|053|Purchase of Furniture and Fixture for Office|2053-00-093-1-07|Purchase of Furniture and Fixture for Office|V|Data|Object-Head|3.22|||
122|05|14|2053|District Administration|00||093||1|Deputy Commissioners - Establishment|07|Special Court under Karnataka Land Grabbing Prohibition Act 2011|071|Building Expenses|2053-00-093-1-07|Building Expenses|V|Data|Object-Head|8.88|10.00|10.00|10.00
122|05|14|2053|District Administration|00||093||1|Deputy Commissioners - Establishment|07|Special Court under Karnataka Land Grabbing Prohibition Act 2011|195|Transport Expenses|2053-00-093-1-07|Transport Expenses|V|Data|Object-Head|24.49|18.48|18.48|17.99
122|05|14|2053|District Administration|00||093||1|Deputy Commissioners - Establishment|07|Special Court under Karnataka Land Grabbing Prohibition Act 2011||||HOA Total :|V|Total|Detailed-Head|404.92|408.11|442.97|401.51
122|05|14|2053|District Administration|00||094||1|Assistant Commissioners - Establishment|01|Assistant Commissioners - Establishment|||2053-00-094-1-01|Assistant Commissioners - Establishment|V|Header|Detailed-Head||||
122|05|14|2053|District Administration|00||094||1|Assistant Commissioners - Establishment|01|Assistant Commissioners - Establishment|002|Basic Pay|2053-00-094-1-01|Basic Pay|V|Data|Object-Head|633.89|3719.00|3719.00|3809.00
122|05|14|2053|District Administration|00||094||1|Assistant Commissioners - Establishment|01|Assistant Commissioners - Establishment|003|Basic Pay-Staff|2053-00-094-1-01|Basic Pay-Staff|V|Data|Object-Head|2287.46|||
122|05|14|2053|District Administration|00||094||1|Assistant Commissioners - Establishment|01|Assistant Commissioners - Establishment|004|Interim Relief|2053-00-094-1-01|Interim Relief|V|Data|Object-Head|163.54|||
122|05|14|2053|District Administration|00||094||1|Assistant Commissioners - Establishment|01|Assistant Commissioners - Establishment|011|Dearness Allowance|2053-00-094-1-01|Dearness Allowance|V|Data|Object-Head|661.18|848.00|848.00|977.00
122|05|14|2053|District Administration|00||094||1|Assistant Commissioners - Establishment|01|Assistant Commissioners - Establishment|014|Other Allowance|2053-00-094-1-01|Other Allowance|V|Data|Object-Head|321.55|434.00|434.00|423.00
122|05|14|2053|District Administration|00||094||1|Assistant Commissioners - Establishment|01|Assistant Commissioners - Establishment|020|Medical Allowance|2053-00-094-1-01|Medical Allowance|V|Data|Object-Head|19.88|||
122|05|14|2053|District Administration|00||094||1|Assistant Commissioners - Establishment|01|Assistant Commissioners - Establishment|021|Reimbursement of Medical Expenses|2053-00-094-1-01|Reimbursement of Medical Expenses|V|Data|Object-Head|13.71|39.00|39.00|38.00
