Source_Page_Number|Volume_Number|Demand_Number|Major_Head_Code|Major_Head_Name|Sub_Major_Head_Code|Sub_Major_Head_Name|Minor_Head_Code|Minor_Head_Name|Sub_Head_Code|Sub_Head_Name|Detailed_Head_Code|Detailed_Head_Name|Object_Head_Code|Object_Head_Description|Full_Account_Code|Description|Vote_Charge_Marker|Row_Type|Row_Level|Financial_Col_1|Financial_Col_2|Financial_Col_3|Financial_Col_4
144|05|14|2250|Other Social Services|00||103||3|Kaginele Development Board|00|Kaginele Development Board|103|Grants-in-Aid -General|2250-00-103-3-00|Grants-in-Aid -General|V|Data|Object-Head|50.00|100.00|100.00|500.00
144|05|14|2250|Other Social Services|00||103||3|Kaginele Development Board|00|Kaginele Development Board|||2250-00-103-3-00|HOA Total :|V|Total|Detailed-Head|72.63|129.62|129.62|517.75
144|05|14|2250|Other Social Services|00||103||5||02|Gandhi Bhavan|||2250-00-103-5-02|Gandhi Bhavan|V|Header|Detailed-Head||||
144|05|14|2250|Other Social Services|00||103||5||02|Gandhi Bhavan|103|Grants-in-Aid -General|2250-00-103-5-02|Grants-in-Aid -General|V|Data|Object-Head|100.00|100.00|100.00|150.00
144|05|14|2250|Other Social Services|00||103||5||02|Gandhi Bhavan|||2250-00-103-5-02|HOA Total :|V|Total|Detailed-Head|100.00|100.00|100.00|150.00
144|05|14|2250|Other Social Services|00||103||5||06|Yediyur Development Board|||2250-00-103-5-06|Yediyur Development Board|V|Header|Detailed-Head||||
144|05|14|2250|Other Social Services|00||103||5||06|Yediyur Development Board|103|Grants-in-Aid -General|2250-00-103-5-06|Grants-in-Aid -General|V|Data|Object-Head|1.00|1.00|1.00|
144|05|14|2250|Other Social Services|00||103||5||06|Yediyur Development Board|||2250-00-103-5-06|HOA Total :|V|Total|Detailed-Head|1.00|1.00|1.00|0.00
144|05|14|2250|Other Social Services|00||103||5||08|Assistance to Manasa Sarovar Piligrims|||2250-00-103-5-08|Assistance to Manasa Sarovar Piligrims|V|Header|Detailed-Head||||
144|05|14|2250|Other Social Services|00||103||5||08|Assistance to Manasa Sarovar Piligrims|100|Financial Assistance/Relief|2250-00-103-5-08|Financial Assistance/Relief|V|Data|Object-Head|1999.99|2000.00|2000.00|2000.00
144|05|14|2250|Other Social Services|00||103||5||08|Assistance to Manasa Sarovar Piligrims|||2250-00-103-5-08|HOA Total :|V|Total|Detailed-Head|1999.99|2000.00|2000.00|2000.00
144|05|14|2250|Other Social Services|00||103||5||09|Aaradhana|||2250-00-103-5-09|Aaradhana|V|Header|Detailed-Head||||
144|05|14|2250|Other Social Services|00||103||5||09|Aaradhana|059|Other Expenses|2250-00-103-5-09|Other Expenses|V|Data|Object-Head|499.99|500.00|500.00|968.00
144|05|14|2250|Other Social Services|00||103||5||09|Aaradhana|422|Schedule Caste Sub Plan|2250-00-103-5-09|Schedule Caste Sub Plan|V|Data|Object-Head|499.99|500.00|500.00|990.00
144|05|14|2250|Other Social Services|00||103||5||09|Aaradhana|423|Tribal Sub Plan|2250-00-103-5-09|Tribal Sub Plan|V|Data|Object-Head|119.99|120.00|120.00|242.00
144|05|14|2250|Other Social Services|00||103||5||09|Aaradhana|||2250-00-103-5-09|HOA Total :|V|Total|Detailed-Head|1119.97|1120.00|1120.00|2200.00
144|05|14|2250|Other Social Services|00||103||5||12|Temples & Other Religious Institutions|||2250-00-103-5-12|Temples & Other Religious Institutions|V|Header|Detailed-Head||||
144|05|14|2250|Other Social Services|00||103||5||12|Temples & Other Religious Institutions|103|Grants-in-Aid -General|2250-00-103-5-12|Grants-in-Aid -General|V|Data|Object-Head|250.00|250.00|1500.00|250.00
144|05|14|2250|Other Social Services|00||103||5||12|Temples & Other Religious Institutions|200|Maintenance Expenditure|2250-00-103-5-12|Maintenance Expenditure|V|Data|Object-Head|1499.75|1250.00|750.00|1750.00
144|05|14|2250|Other Social Services|00||103||5||12|Temples & Other Religious Institutions|||2250-00-103-5-12|HOA Total :|V|Total|Detailed-Head|1749.75|1500.00|2250.00|2000.00
