33|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|03||001||0||01|Commissioner - Backward Classes Welfare Department|||2225-03-001-0-01|Commissioner - Backward Classes Welfare Department||Header|Detailed-Head||||
33|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|03||001||0||01|Commissioner - Backward Classes Welfare Department|002|Basic Pay|2225-03-001-0-01|Basic Pay||Data|Object-Head|87.13|409.00|411.42|384.00
33|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|03||001||0||01|Commissioner - Backward Classes Welfare Department|003|Basic Pay-Staff|2225-03-001-0-01|Basic Pay-Staff||Data|Object-Head|248.47|||
33|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|03||001||0||01|Commissioner - Backward Classes Welfare Department|004|Interim Relief|2225-03-001-0-01|Interim Relief||Data|Object-Head|21.32|||
33|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|03||001||0||01|Commissioner - Backward Classes Welfare Department|011|Dearness Allowance|2225-03-001-0-01|Dearness Allowance||Data|Object-Head|79.14|90.00|90.75|98.00
33|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|03||001||0||01|Commissioner - Backward Classes Welfare Department|014|Other Allowance|2225-03-001-0-01|Other Allowance||Data|Object-Head|83.25|93.00|99.41|90.00
33|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|03||001||0||01|Commissioner - Backward Classes Welfare Department|015|Subsidiary Expenses|2225-03-001-0-01|Subsidiary Expenses||Data|Object-Head|7.00|7.00|7.00|7.00
33|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|03||001||0||01|Commissioner - Backward Classes Welfare Department|020|Medical Allowance|2225-03-001-0-01|Medical Allowance||Data|Object-Head|2.12|||
33|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|03||001||0||01|Commissioner - Backward Classes Welfare Department|021|Reimbursement of Medical Expenses|2225-03-001-0-01|Reimbursement of Medical Expenses||Data|Object-Head|1.63|15.00|15.00|15.00
33|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|03||001||0||01|Commissioner - Backward Classes Welfare Department|041|Travel Expenses|2225-03-001-0-01|Travel Expenses||Data|Object-Head|0.96|5.00|5.00|5.00
