58|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|04|Welfare of Minorities|196|Assistance to Zilla Panchayats|1||04|Grants to District Minority Welfare Establishments|417|Kalaburagi|2225-04-196-1-04|Kalaburagi|V|Data|Object-Head||||99.46
58|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|04|Welfare of Minorities|196|Assistance to Zilla Panchayats|1||04|Grants to District Minority Welfare Establishments|418|Ballari|2225-04-196-1-04|Ballari|V|Data|Object-Head||||72.78
58|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|04|Welfare of Minorities|196|Assistance to Zilla Panchayats|1||04|Grants to District Minority Welfare Establishments|419|Bidar|2225-04-196-1-04|Bidar|V|Data|Object-Head||||77.27
58|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|04|Welfare of Minorities|196|Assistance to Zilla Panchayats|1||04|Grants to District Minority Welfare Establishments|420|Raichur|2225-04-196-1-04|Raichur|V|Data|Object-Head||||82.73
58|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|04|Welfare of Minorities|196|Assistance to Zilla Panchayats|1||04|Grants to District Minority Welfare Establishments|421|Yadgiri|2225-04-196-1-04|Yadgiri|V|Data|Object-Head||||82.14
58|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|04|Welfare of Minorities|196|Assistance to Zilla Panchayats|1||04|Grants to District Minority Welfare Establishments|451|Davanagere|2225-04-196-1-04|Davanagere|V|Data|Object-Head||||93.91
58|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|04|Welfare of Minorities|196|Assistance to Zilla Panchayats|1||04|Grants to District Minority Welfare Establishments|452|Bengaluru South|2225-04-196-1-04|Bengaluru South|V|Data|Object-Head||||68.33
58|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|04|Welfare of Minorities|196|Assistance to Zilla Panchayats|1||04|Grants to District Minority Welfare Establishments|453|Chikkaballapura|2225-04-196-1-04|Chikkaballapura|V|Data|Object-Head||||65.01
58|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|04|Welfare of Minorities|196|Assistance to Zilla Panchayats|1||04|Grants to District Minority Welfare Establishments|456|Chamarajanagar|2225-04-196-1-04|Chamarajanagar|V|Data|Object-Head||||63.52
58|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|04|Welfare of Minorities|196|Assistance to Zilla Panchayats|1||04|Grants to District Minority Welfare Establishments|457|Udupi|2225-04-196-1-04|Udupi|V|Data|Object-Head||||49.19
58|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|04|Welfare of Minorities|196|Assistance to Zilla Panchayats|1||04|Grants to District Minority Welfare Establishments|461|Bagalkot|2225-04-196-1-04|Bagalkot|V|Data|Object-Head||||76.74
58|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|04|Welfare of Minorities|196|Assistance to Zilla Panchayats|1||04|Grants to District Minority Welfare Establishments|462|Gadag|2225-04-196-1-04|Gadag|V|Data|Object-Head||||58.78
58|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|04|Welfare of Minorities|196|Assistance to Zilla Panchayats|1||04|Grants to District Minority Welfare Establishments|463|Haveri|2225-04-196-1-04|Haveri|V|Data|Object-Head||||62.99
58|05|10|2225|Welfare of Scheduled Castes, Scheduled Tribes, Other Backward Classes and Minorities|04|Welfare of Minorities|196|Assistance to Zilla Panchayats|1||04|Grants to District Minority Welfare Establishments|466|Koppal|2225-04-196-1-04|Koppal|V|Data|Object-Head||||96.40
