151|05|14|4059|Capital Outlay on Public Works|01|Office Buildings|051|Construction|0||01|Construction of New Nada Kacheri Offices||||4059-01-051-0-01|Construction of New Nada Kacheri Offices|V|Header|Detailed-Head||||
151|05|14|4059|Capital Outlay on Public Works|01|Office Buildings|051|Construction|0||01|Construction of New Nada Kacheri Offices|386|Purchase/Construction of Buildings|4059-01-051-0-01|Purchase/Construction of Buildings|V|Data|Object-Head|199.49|1500.00|1500.00|1500.00
151|05|14|4059|Capital Outlay on Public Works|01|Office Buildings|051|Construction|0||01|Construction of New Nada Kacheri Offices||||4059-01-051-0-01|HOA Total :|V|Total|Detailed-Head|199.49|1500.00|1500.00|1500.00
151|05|14|4059|Capital Outlay on Public Works|01|Office Buildings|201|Land Acquisition|0||02|Land Acquisition Compensation|||4059-01-201-0-02|Land Acquisition Compensation|V|Header|Detailed-Head||||
151|05|14|4059|Capital Outlay on Public Works|01|Office Buildings|201|Land Acquisition|0||02|Land Acquisition Compensation|132|Other Capital Expenses|4059-01-201-0-02|Other Capital Expenses|C|Data|Object-Head|52.80|50.00|50.00|1.00
151|05|14|4059|Capital Outlay on Public Works|01|Office Buildings|201|Land Acquisition|0||02|Land Acquisition Compensation||||4059-01-201-0-02|HOA Total :|C|Total|Detailed-Head|52.80|50.00|50.00|1.00
151|05|14|4059|Capital Outlay on Public Works|80|General|051|Construction|0||30|Construction of Mini Vidhana Soudha & Sub-Registrar's Offices|||4059-80-051-0-30|Construction of Mini Vidhana Soudha & Sub-Registrar's Offices|V|Header|Detailed-Head||||
151|05|14|4059|Capital Outlay on Public Works|80|General|051|Construction|0||30|Construction of Mini Vidhana Soudha & Sub-Registrar's Offices|132|Other Capital Expenses|4059-80-051-0-30|Other Capital Expenses|V|Data|Object-Head|7600.00|2500.00|2500.00|4050.00
151|05|14|4059|Capital Outlay on Public Works|80|General|051|Construction|0||30|Construction of Mini Vidhana Soudha & Sub-Registrar's Offices|180|Machinery and Equipments|4059-80-051-0-30|Machinery and Equipments|V|Data|Object-Head||15.00|15.00|50.00
151|05|14|4059|Capital Outlay on Public Works|80|General|051|Construction|0||30|Construction of Mini Vidhana Soudha & Sub-Registrar's Offices|386|Purchase/Construction of Buildings|4059-80-051-0-30|Purchase/Construction of Buildings|V|Data|Object-Head|7953.19|5000.00|5000.00|5000.00
151|05|14|4059|Capital Outlay on Public Works|80|General|051|Construction|0||30|Construction of Mini Vidhana Soudha & Sub-Registrar's Offices||||4059-80-051-0-30|HOA Total :|V|Total|Detailed-Head|15553.19|7515.00|7515.00|9100.00
151|05|14|4059|Capital Outlay on Public Works|80|General|051|Construction|0||42|Construction of District Office Buildings|||4059-80-051-0-42|Construction of District Office Buildings|V|Header|Detailed-Head||||
151|05|14|4059|Capital Outlay on Public Works|80|General|051|Construction|0||42|Construction of District Office Buildings|386|Purchase/Construction of Buildings|4059-80-051-0-42|Purchase/Construction of Buildings|V|Data|Object-Head|4999.46|5000.00|5000.00|5000.00
151|05|14|4059|Capital Outlay on Public Works|80|General|051|Construction|0||42|Construction of District Office Buildings||||4059-80-051-0-42|HOA Total :|V|Total|Detailed-Head|4999.46|5000.00|5000.00|5000.00
151|05|14|4059|Capital Outlay on Public Works|80|General|051|Construction|0||52|Infrastructure & Stay Facilities at Religious Places|||4059-80-051-0-52|Infrastructure & Stay Facilities at Religious Places|V|Header|Detailed-Head||||
151|05|14|4059|Capital Outlay on Public Works|80|General|051|Construction|0||52|Infrastructure & Stay Facilities at Religious Places|132|Other Capital Expenses|4059-80-051-0-52|Other Capital Expenses|V|Data|Object-Head||1500.00|1500.00|
151|05|14|4059|Capital Outlay on Public Works|80|General|051|Construction|0||52|Infrastructure & Stay Facilities at Religious Places|386|Purchase/Construction of Buildings|4059-80-051-0-52|Purchase/Construction of Buildings|V|Data|Object-Head|1199.97|1000.00|1000.00|2500.00
151|05|14|4059|Capital Outlay on Public Works|80|General|051|Construction|0||52|Infrastructure & Stay Facilities at Religious Places||||4059-80-051-0-52|HOA Total :|V|Total|Detailed-Head|1199.97|2500.00|2500.00|2500.00
