Source_Page_Number|Volume_Number|Demand_Number|Major_Head_Code|Major_Head_Name|Sub_Major_Head_Code|Sub_Major_Head_Name|Minor_Head_Code|Minor_Head_Name|Sub_Head_Code|Sub_Head_Name|Detailed_Head_Code|Detailed_Head_Name|Object_Head_Code|Object_Head_Description|Full_Account_Code|Description|Vote_Charge_Marker|Row_Type|Row_Level|Financial_Col_1|Financial_Col_2|Financial_Col_3|Financial_Col_4|Avg_Accuracy_%
1|6|06|3051|Ports and Light Houses|02||||||||||3051|Ports and Light Houses||Header|Major-Head|||||
1|6|06|3051|Ports and Light Houses|02||001||0||50|Vacant Post Provision|||3051-02-001-0-50|Vacant Post Provision||Header|Detailed-Head|||||100.0
1|6|06|3051|Ports and Light Houses|02||001||0||50|Vacant Post Provision|014|Other Allowance|3051-02-001-0-50|Other Allowance||Data|Object-Head||523.45|523.45|642.45|100.0
1|6|06|3051|Ports and Light Houses|02||001||0||50|Vacant Post Provision||||3051-02-001-0-50|HOA Total :|Total|Detailed-Head|0.00|523.45|523.45|642.45|100.0
1|6|06|3051|Ports and Light Houses|02||102||0||08|Karnataka Maritime Board|||3051-02-102-0-08|Karnataka Maritime Board||Header|Detailed-Head|||||100.0
1|6|06|3051|Ports and Light Houses|02||102||0||08|Karnataka Maritime Board|101|Grants-in-Aid-Salaries|3051-02-102-0-08|Grants-in-Aid-Salaries||Data|Object-Head|1204.83|1336.76|1336.76|1365.57|100.0
1|6|06|3051|Ports and Light Houses|02||102||0||08|Karnataka Maritime Board|103|Grants-in-Aid -General|3051-02-102-0-08|Grants-in-Aid -General||Data|Object-Head|2794.44|2400.00|2400.00|500.00|100.0
1|6|06|3051|Ports and Light Houses|02||102||0||08|Karnataka Maritime Board|115|GIA Contract /Outsource|3051-02-102-0-08|GIA Contract /Outsource||Data|Object-Head|252.41|399.06|399.06|182.64|100.0
1|6|06|3051|Ports and Light Houses|02||102||0||08|Karnataka Maritime Board|118|Grants-in-Aid-Pensions|3051-02-102-0-08|Grants-in-Aid-Pensions||Data|Object-Head||28.56|28.56|32.89|100.0
1|6|06|3051|Ports and Light Houses|02||102||0||08|Karnataka Maritime Board||||3051-02-102-0-08|HOA Total :|Total|Detailed-Head|4251.68|4164.38|4164.38|2081.10|100.0
1|6|06|3051|Ports and Light Houses|02||797||0||02|Transfer of Receipts under Ports, Lighthouses & Shipping|||3051-02-797-0-02|Transfer of Receipts under Ports, Lighthouses & Shipping||Header|Detailed-Head|||||100.0
1|6|06|3051|Ports and Light Houses|02||797||0||02|Transfer of Receipts under Ports, Lighthouses & Shipping|261|Inter Account Transfers|3051-02-797-0-02|Inter Account Transfers||Data|Object-Head|2408.39|5355.00|5355.00||100.0
1|6|06|3051|Ports and Light Houses|02||797||0||02|Transfer of Receipts under Ports, Lighthouses & Shipping||||3051-02-797-0-02|HOA Total :|Total|Detailed-Head|2408.39|5355.00|5355.00|0.00|100.0
1|6|06|3051|Ports and Light Houses|02||902||0||03|Deduct amount met from Port Development Fund|||3051-02-902-0-03|Deduct amount met from Port Development Fund||Header|Detailed-Head|||||100.0
1|6|06|3051|Ports and Light Houses|02||902||0||03|Deduct amount met from Port Development Fund|261|Inter Account Transfers|3051-02-902-0-03|Inter Account Transfers||Data|Object-Head|-2794.45|-2400.00|-2400.00|-500.00|100.0
1|6|06|3051|Ports and Light Houses|02||902||0||03|Deduct amount met from Port Development Fund||||3051-02-902-0-03|HOA Total :|Total|Detailed-Head|-2794.45|-2400.00|-2400.00|-500.00|100.0
1|6|06|3051|Ports and Light Houses|02||||||||||3051|3051 - Total :||Total|Major-Head|3865.62|7642.83|7642.83|2223.55|
2|06|06|3451|Secretariat- Economic Services|00||||||||||3451|Secretariat- Economic Services||Header|Major-Head|||||
2|06|06|3451|Secretariat- Economic Services|00||090||1||06|PPP Developmental Activities|||3451-00-090-1-06|PPP Developmental Activities||Header|Detailed-Head|||||100.0
2|06|06|3451|Secretariat- Economic Services|00||090||1||06|PPP Developmental Activities|059|Other Expenses|3451-00-090-1-06|Other Expenses||Data|Object-Head|200.00|500.00|500.00|500.00|100.0
2|06|06|3451|Secretariat- Economic Services|00||090||1||06|PPP Developmental Activities||||3451-00-090-1-06|HOA Total :|Total|Detailed-Head|200.00|500.00|500.00|500.00|100.0
2|06|06|3451|Secretariat- Economic Services|00||090||1||11|Development of Minor Airports|||3451-00-090-1-11|Development of Minor Airports||Header|Detailed-Head|||||100.0
2|06|06|3451|Secretariat- Economic Services|00||090||1||11|Development of Minor Airports|071|Building Expenses|3451-00-090-1-11|Building Expenses||Data|Object-Head|488.00|500.00|500.00|500.00|100.0
2|06|06|3451|Secretariat- Economic Services|00||090||1||11|Development of Minor Airports||||3451-00-090-1-11|HOA Total :|Total|Detailed-Head|488.00|500.00|500.00|500.00|100.0
2|06|06|3451|Secretariat- Economic Services|00||090||1||18|Regional Air Connectivity|||3451-00-090-1-18|Regional Air Connectivity||Header|Detailed-Head|||||100.0
2|06|06|3451|Secretariat- Economic Services|00||090||1||18|Regional Air Connectivity|059|Other Expenses|3451-00-090-1-18|Other Expenses||Data|Object-Head|2499.62|4133.00|4133.00|3940.00|100.0
2|06|06|3451|Secretariat- Economic Services|00||090||1||18|Regional Air Connectivity||||3451-00-090-1-18|HOA Total :|Total|Detailed-Head|2499.62|4133.00|4133.00|3940.00|100.0
2|06|06|3451|Secretariat- Economic Services|00||||||||||3451|3451 - Total :||Total|Major-Head|3187.62|5133.00|5133.00|4940.00|
3|06|06|4711|Capital Outlay on Flood Control Projects|02||||||||||4711|Capital Outlay on Flood Control Projects||Header|Major-Head|||||
3|06|06|4711|Capital Outlay on Flood Control Projects|02||103||2||02|Sea Erosion Control Works|||4711-02-103-2-02|Sea Erosion Control Works||Header|Detailed-Head|||||100.0
3|06|06|4711|Capital Outlay on Flood Control Projects|02||103||2||02|Sea Erosion Control Works|132|Other Capital Expenses|4711-02-103-2-02|Other Capital Expenses||Data|Object-Head||||1500.00|100.0
3|06|06|4711|Capital Outlay on Flood Control Projects|02||103||2||02|Sea Erosion Control Works|139|Major Works|4711-02-103-2-02|Major Works||Data|Object-Head|2857.00|1500.00|1500.00||100.0
3|06|06|4711|Capital Outlay on Flood Control Projects|02||103||2||02|Sea Erosion Control Works||||4711-02-103-2-02|HOA Total :|Total|Detailed-Head|2857.00|1500.00|1500.00|1500.00|100.0
3|06|06|4711|Capital Outlay on Flood Control Projects|02||||||||||4711|4711 - Total :||Total|Major-Head|2857.00|1500.00|1500.00|1500.00|
4|6|06|5051|Capital Outlay on Ports & Light Houses|02||||||||||5051|Capital Outlay on Ports & Light Houses||Header|Major-Head|||||
4|6|06|5051|Capital Outlay on Ports & Light Houses|02||211||0||02|CSS-Central Share(CNA)- Sagarmala Project -Dredging Works and Break Water Works|||5051-02-211-0-02|CSS-Central Share(CNA)- Sagarmala Project -Dredging Works and Break Water Works||Header|Detailed-Head|||||100.0
4|6|06|5051|Capital Outlay on Ports & Light Houses|02||211||0||02|CSS-Central Share(CNA)- Sagarmala Project -Dredging Works and Break Water Works|132|Other Capital Expenses|5051-02-211-0-02|Other Capital Expenses||Data|Object-Head|500.79|3218.00|3218.00|3615.00|100.0
4|6|06|5051|Capital Outlay on Ports & Light Houses|02||211||0||02|CSS-Central Share(CNA)- Sagarmala Project -Dredging Works and Break Water Works|||5051-02-211-0-02|HOA Total :||Total|Detailed-Head|500.79|3218.00|3218.00|3615.00|100.0
4|6|06|5051|Capital Outlay on Ports & Light Houses|02||211||0||03|CSS-State Share (CNA)- Sagarmala Project -Dredging Works and Break Water Works|||5051-02-211-0-03|CSS-State Share (CNA)- Sagarmala Project -Dredging Works and Break Water Works||Header|Detailed-Head|||||100.0
4|6|06|5051|Capital Outlay on Ports & Light Houses|02||211||0||03|CSS-State Share (CNA)- Sagarmala Project -Dredging Works and Break Water Works|132|Other Capital Expenses|5051-02-211-0-03|Other Capital Expenses||Data|Object-Head|200.00|3218.00|2868.00|3615.00|100.0
4|6|06|5051|Capital Outlay on Ports & Light Houses|02||211||0||03|CSS-State Share (CNA)- Sagarmala Project -Dredging Works and Break Water Works|||5051-02-211-0-03|HOA Total :||Total|Detailed-Head|200.00|3218.00|2868.00|3615.00|100.0
4|6|06|5051|Capital Outlay on Ports & Light Houses|80||||||||||5051|Capital Outlay on Ports & Light Houses||Header|Sub-Major-Head|||||
4|6|06|5051|Capital Outlay on Ports & Light Houses|80||001||0||01|Capital Expenses of Karnataka Maritime Board|||5051-80-001-0-01|Capital Expenses of Karnataka Maritime Board||Header|Detailed-Head|||||100.0
4|6|06|5051|Capital Outlay on Ports & Light Houses|80||001||0||01|Capital Expenses of Karnataka Maritime Board|132|Other Capital Expenses|5051-80-001-0-01|Other Capital Expenses||Data|Object-Head|1343.56|1000.00|1000.00|1000.00|100.0
4|6|06|5051|Capital Outlay on Ports & Light Houses|80||001||0||01|Capital Expenses of Karnataka Maritime Board|||5051-80-001-0-01|HOA Total :||Total|Detailed-Head|1343.56|1000.00|1000.00|1000.00|100.0
4|6|06|5051|Capital Outlay on Ports & Light Houses|80||902||0||01|Deduct Amount met from Port Development Fund|||5051-80-902-0-01|Deduct Amount met from Port Development Fund||Header|Detailed-Head|||||100.0
4|6|06|5051|Capital Outlay on Ports & Light Houses|80||902||0||01|Deduct Amount met from Port Development Fund|261|Inter Account Transfers|5051-80-902-0-01|Inter Account Transfers||Data|Object-Head|-1343.56|-1000.00|-1000.00|-1000.00|100.0
4|6|06|5051|Capital Outlay on Ports & Light Houses|80||902||0||01|Deduct Amount met from Port Development Fund|||5051-80-902-0-01|HOA Total :||Total|Detailed-Head|-1343.56|-1000.00|-1000.00|-1000.00|100.0
4|6|06|5051|Capital Outlay on Ports & Light Houses|80||||||||||5051|5051 - Total :||Total|Major-Head|700.79|6436.00|6086.00|7230.00|
5|06|06|5465|Investments in General Financial and Trading Institutions|01||||||||||5465|Investments in General Financial and Trading Institutions|V|Header|Major-Head|||||
5|06|06|5465|Investments in General Financial and Trading Institutions|01||190||1||05|Development of Minor Air Ports|||5465-01-190-1-05|Development of Minor Air Ports|V|Header|Detailed-Head|||||100.0
5|06|06|5465|Investments in General Financial and Trading Institutions|01||190||1||05|Development of Minor Air Ports|132|Other Capital Expenses|5465-01-190-1-05|Other Capital Expenses|V|Data|Object-Head|14999.19|17600.00|17950.00|20000.00|100.0
5|06|06|5465|Investments in General Financial and Trading Institutions|01||190||1||05|Development of Minor Air Ports|||5465-01-190-1-05|HOA Total :|V|Total|Detailed-Head|14999.19|17600.00|17950.00|20000.00|100.0
5|06|06|5465|Investments in General Financial and Trading Institutions|01||190||3||04|Railway Over Bridge / Railway Under-bridge Projects|||5465-01-190-3-04|Railway Over Bridge / Railway Under-bridge Projects|V|Header|Detailed-Head|||||100.0
5|06|06|5465|Investments in General Financial and Trading Institutions|01||190||3||04|Railway Over Bridge / Railway Under-bridge Projects|211|Investment|5465-01-190-3-04|Investment|V|Data|Object-Head|1404.00|5000.00|5000.00|5000.00|100.0
5|06|06|5465|Investments in General Financial and Trading Institutions|01||190||3||04|Railway Over Bridge / Railway Under-bridge Projects|||5465-01-190-3-04|HOA Total :|V|Total|Detailed-Head|1404.00|5000.00|5000.00|5000.00|100.0
5|06|06|5465|Investments in General Financial and Trading Institutions|01||190||3||05|Cost Sharing Railway Projects|||5465-01-190-3-05|Cost Sharing Railway Projects|V|Header|Detailed-Head|||||100.0
5|06|06|5465|Investments in General Financial and Trading Institutions|01||190||3||05|Cost Sharing Railway Projects|132|Other Capital Expenses|5465-01-190-3-05|Other Capital Expenses|V|Data|Object-Head|27096.00|35000.00|35000.00|35000.00|100.0
5|06|06|5465|Investments in General Financial and Trading Institutions|01||190||3||05|Cost Sharing Railway Projects|145|Acquisition of Land|5465-01-190-3-05|Acquisition of Land|V|Data|Object-Head|34980.00|25000.00|25000.00|25000.00|100.0
5|06|06|5465|Investments in General Financial and Trading Institutions|01||190||3||05|Cost Sharing Railway Projects|||5465-01-190-3-05|HOA Total :|V|Total|Detailed-Head|62076.00|60000.00|60000.00|60000.00|100.0
5|06|06|5465|Investments in General Financial and Trading Institutions|01||902||0||00|Deduct -Amount met from Infrastructure Initiative Fund|||5465-01-902-0-00|Deduct -Amount met from Infrastructure Initiative Fund|V|Header|Detailed-Head|||||100.0
5|06|06|5465|Investments in General Financial and Trading Institutions|01||902||0||00|Deduct -Amount met from Infrastructure Initiative Fund|261|Inter Account Transfers|5465-01-902-0-00|Inter Account Transfers|V|Data|Object-Head|-25000.00||||100.0
5|06|06|5465|Investments in General Financial and Trading Institutions|01||902||0||00|Deduct -Amount met from Infrastructure Initiative Fund|||5465-01-902-0-00|HOA Total :|V|Total|Detailed-Head|-25000.00|0.00|0.00|0.00|100.0
5|06|06|5465|Investments in General Financial and Trading Institutions|01||||||||||5465|5465 - Total :|V|Total|Major-Head|53479.19|82600.00|82950.00|85000.00|
6|06|15|3425|Other Scientific Research|60||||||||||3425|Other Scientific Research|V|Header|Major-Head|||||
6|06|15|3425|Other Scientific Research|60||200||0||01|Assistance to Scientific Institutions|||3425-60-200-0-01|Assistance to Scientific Institutions|V|Header|Detailed-Head|||||100.0
6|06|15|3425|Other Scientific Research|60||200||0||01|Assistance to Scientific Institutions|059|Other Expenses|3425-60-200-0-01|Other Expenses|V|Data|Object-Head|3150.00|3480.00|3604.18|3045.00|100.0
6|06|15|3425|Other Scientific Research|60||200||0||01|Assistance to Scientific Institutions|422|Schedule Caste Sub Plan|3425-60-200-0-01|Schedule Caste Sub Plan|V|Data|Object-Head||360.00|||100.0
6|06|15|3425|Other Scientific Research|60||200||0||01|Assistance to Scientific Institutions|423|Tribal Sub Plan|3425-60-200-0-01|Tribal Sub Plan|V|Data|Object-Head||160.00|||100.0
6|06|15|3425|Other Scientific Research|60||200||0||01|Assistance to Scientific Institutions|||3425-60-200-0-01|HOA Total :|V|Total|Detailed-Head|3150.00|4000.00|3604.18|3045.00|100.0
6|06|15|3425|Other Scientific Research|60||200||0||16|Science & Technology Schemes|||3425-60-200-0-16|Science & Technology Schemes|V|Header|Detailed-Head|||||100.0
6|06|15|3425|Other Scientific Research|60||200||0||16|Science & Technology Schemes|059|Other Expenses|3425-60-200-0-16|Other Expenses|V|Data|Object-Head|860.00|595.95|595.95|522.00|100.0
6|06|15|3425|Other Scientific Research|60||200||0||16|Science & Technology Schemes|422|Schedule Caste Sub Plan|3425-60-200-0-16|Schedule Caste Sub Plan|V|Data|Object-Head|103.00|61.65|421.65|369.00|100.0
6|06|15|3425|Other Scientific Research|60||200||0||16|Science & Technology Schemes|423|Tribal Sub Plan|3425-60-200-0-16|Tribal Sub Plan|V|Data|Object-Head|49.00|27.40|187.40|164.00|100.0
6|06|15|3425|Other Scientific Research|60||200||0||16|Science & Technology Schemes|||3425-60-200-0-16|HOA Total :|V|Total|Detailed-Head|1012.00|685.00|1205.00|1055.00|100.0
6|06|15|3425|Other Scientific Research|60||200||0||19|Support to Nano Technology|||3425-60-200-0-19|Support to Nano Technology|V|Header|Detailed-Head|||||100.0
6|06|15|3425|Other Scientific Research|60||200||0||19|Support to Nano Technology|059|Other Expenses|3425-60-200-0-19|Other Expenses|V|Data|Object-Head|200.00|325.00|325.00|900.00|100.0
6|06|15|3425|Other Scientific Research|60||200||0||19|Support to Nano Technology|||3425-60-200-0-19|HOA Total :|V|Total|Detailed-Head|200.00|325.00|325.00|900.00|100.0
6|06|15|3425|Other Scientific Research|60||200||0||20|District Science Centres|||3425-60-200-0-20|District Science Centres|V|Header|Detailed-Head|||||100.0
6|06|15|3425|Other Scientific Research|60||200||0||20|District Science Centres|059|Other Expenses|3425-60-200-0-20|Other Expenses|V|Data|Object-Head|1237.00||||100.0
6|06|15|3425|Other Scientific Research|60||200||0||20|District Science Centres|101|Grants-in-Aid-Salaries|3425-60-200-0-20|Grants-in-Aid-Salaries|V|Data|Object-Head|171.52|226.67|226.67|238.41|100.0
6|06|15|3425|Other Scientific Research|60||200||0||20|District Science Centres|||3425-60-200-0-20|HOA Total :|V|Total|Detailed-Head|1408.52|226.67|226.67|238.41|100.0
6|06|15|3425|Other Scientific Research|60||600||0||02|Science & Technology Mission|||3425-60-600-0-02|Science & Technology Mission|V|Header|Detailed-Head|||||100.0
6|06|15|3425|Other Scientific Research|60||600||0||02|Science & Technology Mission|059|Other Expenses|3425-60-600-0-02|Other Expenses|V|Data|Object-Head|200.00|1.00|1.00|1600.00|100.0
6|06|15|3425|Other Scientific Research|60||600||0||02|Science & Technology Mission|||3425-60-600-0-02|HOA Total :|V|Total|Detailed-Head|200.00|1.00|1.00|1600.00|100.0
6|06|15|3425|Other Scientific Research|60||||||||||3425|3425 - Total :|V|Total|Major-Head|5970.52|5237.67|5361.85|6838.41|
7|6|15|3451|Secretariat- Economic Services|00||||||||||3451|Secretariat- Economic Services|V|Header|Major-Head|||||
7|6|15|3451|Secretariat- Economic Services|00||090||2||01|IT Policy|||3451-00-090-2-01|IT Policy|V|Header|Detailed-Head|||||100.0
7|6|15|3451|Secretariat- Economic Services|00||090||2||01|IT Policy|059|Other Expenses|3451-00-090-2-01|Other Expenses|V|Data|Object-Head|6921.05|11690.00|11690.00|10780.00|100.0
7|6|15|3451|Secretariat- Economic Services|00||090||2||01|IT Policy|422|Schedule Caste Sub Plan|3451-00-090-2-01|Schedule Caste Sub Plan|V|Data|Object-Head|169.29|1080.00|1080.00|1004.50|100.0
7|6|15|3451|Secretariat- Economic Services|00||090||2||01|IT Policy|423|Tribal Sub Plan|3451-00-090-2-01|Tribal Sub Plan|V|Data|Object-Head|9.66|480.00|480.00|465.50|100.0
7|6|15|3451|Secretariat- Economic Services|00||090||2||01|IT Policy|||3451-00-090-2-01|HOA Total :|V|Total|Detailed-Head|7100.00|13250.00|13250.00|12250.00|100.0
7|6|15|3451|Secretariat- Economic Services|00||090||2||05|International Institute for Information Technology|||3451-00-090-2-05|International Institute for Information Technology|V|Header|Detailed-Head|||||100.0
7|6|15|3451|Secretariat- Economic Services|00||090||2||05|International Institute for Information Technology|059|Other Expenses|3451-00-090-2-05|Other Expenses|V|Data|Object-Head|2500.00|2500.00|2500.00|2500.00|100.0
7|6|15|3451|Secretariat- Economic Services|00||090||2||05|International Institute for Information Technology|||3451-00-090-2-05|HOA Total :|V|Total|Detailed-Head|2500.00|2500.00|2500.00|2500.00|100.0
7|6|15|3451|Secretariat- Economic Services|00||090||2||21|IT & BT Directorate|||3451-00-090-2-21|IT & BT Directorate|V|Header|Detailed-Head|||||100.0
7|6|15|3451|Secretariat- Economic Services|00||090||2||21|IT & BT Directorate|002|Basic Pay|3451-00-090-2-21|Basic Pay|V|Data|Object-Head|111.09|175.00|175.00|177.00|100.0
7|6|15|3451|Secretariat- Economic Services|00||090||2||21|IT & BT Directorate|003|Basic Pay-Staff|3451-00-090-2-21|Basic Pay-Staff|V|Data|Object-Head|19.74||||100.0
7|6|15|3451|Secretariat- Economic Services|00||090||2||21|IT & BT Directorate|004|Interim Relief|3451-00-090-2-21|Interim Relief|V|Data|Object-Head|9.88||||100.0
7|6|15|3451|Secretariat- Economic Services|00||090||2||21|IT & BT Directorate|011|Dearness Allowance|3451-00-090-2-21|Dearness Allowance|V|Data|Object-Head|36.89|43.00|43.00|49.00|100.0
7|6|15|3451|Secretariat- Economic Services|00||090||2||21|IT & BT Directorate|014|Other Allowance|3451-00-090-2-21|Other Allowance|V|Data|Object-Head|33.00|39.00|39.00|38.00|100.0
