Source_Page_Number|Volume_Number|Demand_Number|Major_Head_Code|Major_Head_Name|Sub_Major_Head_Code|Sub_Major_Head_Name|Minor_Head_Code|Minor_Head_Name|Sub_Head_Code|Sub_Head_Name|Detailed_Head_Code|Detailed_Head_Name|Object_Head_Code|Object_Head_Description|Full_Account_Code|Description|Vote_Charge_Marker|Row_Type|Row_Level|Financial_Col_1|Financial_Col_2|Financial_Col_3|Financial_Col_4
123|04|19|2216|Housing|02||106||0||04|CSS-State Share- Affordable Housing in Partnership(AHP)- PMAY(U 2.0)|||2216-02-106-0-04|CSS-State Share- Affordable Housing in Partnership(AHP)- PMAY(U 2.0)|V|Header|Detailed-Head||||
123|04|19|2216|Housing|02||106||0||04|CSS-State Share- Affordable Housing in Partnership(AHP)- PMAY(U 2.0)|051|General Expenses|2216-02-106-0-04|General Expenses|V|Data|Object-Head||||2500.00
123|04|19|2216|Housing|02||106||0||04|CSS-State Share- Affordable Housing in Partnership(AHP)- PMAY(U 2.0)|||2216-02-106-0-04|HOA Total :|V|Total|Detailed-Head|0.00|0.00|0.00|2500.00
123|04|19|2216|Housing|02||106||0||05|CSS-Central Share-Beneficiary Led Construction(BLC)- PMAY(U 2.0)|||2216-02-106-0-05|CSS-Central Share-Beneficiary Led Construction(BLC)- PMAY(U 2.0)|V|Header|Detailed-Head||||
123|04|19|2216|Housing|02||106||0||05|CSS-Central Share-Beneficiary Led Construction(BLC)- PMAY(U 2.0)|051|General Expenses|2216-02-106-0-05|General Expenses|V|Data|Object-Head||||5000.00
123|04|19|2216|Housing|02||106||0||05|CSS-Central Share-Beneficiary Led Construction(BLC)- PMAY(U 2.0)|||2216-02-106-0-05|HOA Total :|V|Total|Detailed-Head|0.00|0.00|0.00|5000.00
123|04|19|2216|Housing|02||106||0||06|CSS-State Share- Beneficiary Led Construction(BLC)- PMAY(U 2.0)|||2216-02-106-0-06|CSS-State Share- Beneficiary Led Construction(BLC)- PMAY(U 2.0)|V|Header|Detailed-Head||||
123|04|19|2216|Housing|02||106||0||06|CSS-State Share- Beneficiary Led Construction(BLC)- PMAY(U 2.0)|051|General Expenses|2216-02-106-0-06|General Expenses|V|Data|Object-Head||||2500.00
123|04|19|2216|Housing|02||106||0||06|CSS-State Share- Beneficiary Led Construction(BLC)- PMAY(U 2.0)|||2216-02-106-0-06|HOA Total :|V|Total|Detailed-Head|0.00|0.00|0.00|2500.00
123|04|19|2216|Housing|02||106||0||07|CSS-Central Share-Administrative Expenditure- PMAY(U 2.0)|||2216-02-106-0-07|CSS-Central Share-Administrative Expenditure- PMAY(U 2.0)|V|Header|Detailed-Head||||
123|04|19|2216|Housing|02||106||0||07|CSS-Central Share-Administrative Expenditure- PMAY(U 2.0)|051|General Expenses|2216-02-106-0-07|General Expenses|V|Data|Object-Head|||400.80|500.00
123|04|19|2216|Housing|02||106||0||07|CSS-Central Share-Administrative Expenditure- PMAY(U 2.0)|||2216-02-106-0-07|HOA Total :|V|Total|Detailed-Head|0.00|0.00|400.80|500.00
123|04|19|2216|Housing|02||106||0||08|CSS-State Share-Administrative Expenditure- PMAY(U 2.0)|||2216-02-106-0-08|CSS-State Share-Administrative Expenditure- PMAY(U 2.0)|V|Header|Detailed-Head||||
123|04|19|2216|Housing|02||106||0||08|CSS-State Share-Administrative Expenditure- PMAY(U 2.0)|051|General Expenses|2216-02-106-0-08|General Expenses|V|Data|Object-Head|||267.20|200.00
123|04|19|2216|Housing|02||106||0||08|CSS-State Share-Administrative Expenditure- PMAY(U 2.0)|||2216-02-106-0-08|HOA Total :|V|Total|Detailed-Head|0.00|0.00|267.20|200.00
