45|04|19|2217|Urban Development|05||001|Direction and Administration|1|Directorate of Municipal Administration|15|Unspent SCSP-TSP Amount as per the SCSP-TSPAct 2013|||2217-05-001-1-15|Unspent SCSP-TSP Amount as per the SCSP-TSPAct 2013|V|Header|Detailed-Head||||
45|04|19|2217|Urban Development|05||001|Direction and Administration|1|Directorate of Municipal Administration|15|Unspent SCSP-TSP Amount as per the SCSP-TSPAct 2013|423|Tribal Sub Plan|2217-05-001-1-15|Tribal Sub Plan|V|Data|Object-Head||2.30|2.30|
45|04|19|2217|Urban Development|05||001|Direction and Administration|1|Directorate of Municipal Administration|15|Unspent SCSP-TSP Amount as per the SCSP-TSPAct 2013|||2217-05-001-1-15|HOA Total :|V|Total|Detailed-Head|0.00|2.30|2.30|0.00
45|04|19|2217|Urban Development|05||001|Direction and Administration|1|Directorate of Municipal Administration|18|Hampi World Heritage Area Management Authority|||2217-05-001-1-18|Hampi World Heritage Area Management Authority|V|Header|Detailed-Head||||
45|04|19|2217|Urban Development|05||001|Direction and Administration|1|Directorate of Municipal Administration|18|Hampi World Heritage Area Management Authority|101|Grants-in-Aid-Salaries|2217-05-001-1-18|Grants-in-Aid-Salaries|V|Data|Object-Head|9.93|12.25|45.33|33.96
45|04|19|2217|Urban Development|05||001|Direction and Administration|1|Directorate of Municipal Administration|18|Hampi World Heritage Area Management Authority|103|Grants-in-Aid -General|2217-05-001-1-18|Grants-in-Aid -General|V|Data|Object-Head||27.00|27.00|27.00
45|04|19|2217|Urban Development|05||001|Direction and Administration|1|Directorate of Municipal Administration|18|Hampi World Heritage Area Management Authority|||2217-05-001-1-18|HOA Total :|V|Total|Detailed-Head|9.93|39.25|72.33|60.96
45|04|19|2217|Urban Development|05||001|Direction and Administration|1|Directorate of Municipal Administration|19|Operations & Maintenance Expenditure of Advance Traffic Information and Management System(ATIMS) under DULT|||2217-05-001-1-19|Operations & Maintenance Expenditure of Advance Traffic Information and Management System(ATIMS) under DULT|V|Header|Detailed-Head||||
45|04|19|2217|Urban Development|05||001|Direction and Administration|1|Directorate of Municipal Administration|19|Operations & Maintenance Expenditure of Advance Traffic Information and Management System(ATIMS) under DULT|200|Maintenance Expenditure|2217-05-001-1-19|Maintenance Expenditure|V|Data|Object-Head|154.80|500.00|500.00|684.00
45|04|19|2217|Urban Development|05||001|Direction and Administration|1|Directorate of Municipal Administration|19|Operations & Maintenance Expenditure of Advance Traffic Information and Management System(ATIMS) under DULT|||2217-05-001-1-19|HOA Total :|V|Total|Detailed-Head|154.80|500.00|500.00|684.00
45|04|19|2217|Urban Development|05||191||0||05|CSS-Central Share(100% GoI)- Administrative & Other Expenses under Urban Rejuvenation Mission-AMRUT 2.0|||2217-05-191-0-05|CSS-Central Share(100% GoI)- Administrative & Other Expenses under Urban Rejuvenation Mission-AMRUT 2.0|V|Header|Detailed-Head||||
45|04|19|2217|Urban Development|05||191||0||05|CSS-Central Share(100% GoI)- Administrative & Other Expenses under Urban Rejuvenation Mission-AMRUT 2.0|059|Other Expenses|2217-05-191-0-05|Other Expenses|V|Data|Object-Head|14434.62|2600.00|3046.35|5000.00
45|04|19|2217|Urban Development|05||191||0||05|CSS-Central Share(100% GoI)- Administrative & Other Expenses under Urban Rejuvenation Mission-AMRUT 2.0|||2217-05-191-0-05|HOA Total :|V|Total|Detailed-Head|14434.62|2600.00|3046.35|5000.00
45|04|19|2217|Urban Development|05||191||0||06|CSS-Central Share(100% GoI)-GIS based Master Plan -AMRUT and AMRUT 2.0|||2217-05-191-0-06|CSS-Central Share(100% GoI)-GIS based Master Plan -AMRUT and AMRUT 2.0|V|Header|Detailed-Head||||
45|04|19|2217|Urban Development|05||191||0||06|CSS-Central Share(100% GoI)-GIS based Master Plan -AMRUT and AMRUT 2.0|059|Other Expenses|2217-05-191-0-06|Other Expenses|V|Data|Object-Head||4500.00|500.00|
45|04|19|2217|Urban Development|05||191||0||06|CSS-Central Share(100% GoI)-GIS based Master Plan -AMRUT and AMRUT 2.0|||2217-05-191-0-06|HOA Total :|V|Total|Detailed-Head|0.00|4500.00|500.00|0.00
